,count_of_sizes,colors,product_code,reviews,quality
112,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-PUMA Silver', 'PUMA Black-Peach Smoothie-Speed Green', 'Fire Orchid-Ultra Blue']",['Style: 378456_05'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
113,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Icy Blue-PUMA Silver-Regal Blue', 'Fire Orchid-PUMA Silver-Icy Blue']",['Style: 377316_09'],['Reviews (4)Average: 4.0 / 5Write A ReviewRead All ReviewsRead All'],['50.0']
114,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA Black-Purple Pop-Yellow Burst'],['Style: 377508_04'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
115,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA Black-Strawberry Burst-Yellow Blaze'],['Style: 378684_01'],['Reviews (3)Average: 3.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
116,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Pink Delight-PUMA Green-Gum'],['Style: 397858_01'],['Reviews (21)Average: 4.8 / 5Write A ReviewRead All ReviewsRead All'],['90.0']
117,[],['Eucalyptus-PUMA White: out of stock'],['Style: 396383_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
118,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-Platinum Gray', 'Ash Gray-Alpine Snow-Koral Ice', 'Dark Jasper-PUMA Black-Fire Orchid']",['Style: 377855_06'],['Reviews (3)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
119,"['8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '15.5']","['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']",['Style: 396463_05'],['Reviews (4)Average: 4.3 / 5Write A ReviewRead All ReviewsRead All'],['66.7']
120,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA Black'],['Style: 379288_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
121,"['8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5']","['PUMA White-PUMA Black', 'PUMA Black-PUMA White', 'Warm White-Yellow Burst-Parakeet Green']",['Style: 390932_09'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
122,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5']",['PUMA Black-Cool Cobalt-Pop Red'],['Style: 307761_01'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],[]
123,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Ash Gray-PUMA Black-Koral Ice', 'Neon Sun-Alpine Snow-PUMA Black']",['Style: 307685_04'],['Reviews (1)Average: 4.0 / 5Write A ReviewRead All ReviewsRead All'],['0.0']
124,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Ash Gray-PUMA Black-Koral Ice', 'Neon Sun-Alpine Snow-PUMA Black']",['Style: 307685_03'],['Reviews (1)Average: 4.0 / 5Write A ReviewRead All ReviewsRead All'],[]
125,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5']",['PUMA Black-Cool Dark Gray'],['Style: 377942_01'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],[]
126,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5']","['Fire Orchid-Ultra Blue-PUMA White', 'PUMA White-Fire Orchid-Ultra Blue-PUMA Black']",['Style: 377787_03'],['Reviews (3)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
127,[],"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']",['Style: 377746_07'],['Reviews (1)Average: 3.0 / 5Write A ReviewRead All ReviewsRead All'],[]
128,[],['Pure Green-Green Illusion: out of stock'],['Style: 395997_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
129,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Koral Ice-Cool Mid Gray-PUMA Black'],['Style: 378551_04'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
130,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12']",['Ghost Pepper-PUMA Black-Pink Glimmer'],['Style: 379115_01'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
131,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Dusty Tan'],['Style: 378435_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
132,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Fire Orchid-Ultra Blue-PUMA White'],['Style: 376592_05'],['Reviews (1)Average: 2.0 / 5Write A ReviewRead All ReviewsRead All'],['0.0']
133,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-Platinum Gray', 'Ash Gray-Alpine Snow-Koral Ice', 'Dark Jasper-PUMA Black-Fire Orchid']",['Style: 377855_08'],['Reviews (3)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
134,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12']","['PUMA Black-PUMA White', 'PUMA White-Speed Green', 'PUMA Black-Bold Blue-Future Pink']",['Style: 378688_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
135,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA White-Vapor Gray-Gum', 'PUMA Black-Feather Gray-Gum']",['Style: 397647_01'],['Reviews (18)Average: 4.4 / 5Write A ReviewRead All ReviewsRead All'],['90.9']
136,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Yellow Burst-Racing Blue-Pink Glimmer'],['Style: 379040_01'],['Reviews (4)Average: 4.8 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
137,"['8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5', '15.5']","['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']",['Style: 396463_02'],['Reviews (4)Average: 4.3 / 5Write A ReviewRead All ReviewsRead All'],['66.7']
138,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5']","['PUMA Black-Fire Orchid', 'Fire Orchid-PUMA Black-Icy Blue', 'Poison Pink-PUMA Black-PUMA White']",['Style: 376855_25'],['Reviews (9)Average: 4.2 / 5Write A ReviewRead All ReviewsRead All'],['88.9']
139,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Puma Black'],['Style: 383157_02'],['Reviews (15)Average: 4.4 / 5Write A ReviewRead All ReviewsRead All'],['86.7']
140,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5']","['Fire Orchid-Ultra Blue-PUMA White', 'PUMA White-Fire Orchid-Ultra Blue-PUMA Black']",['Style: 377787_02'],['Reviews (3)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
141,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12']","['Puma Black-Metallic Gold', 'PUMA White-Fire Orchid-PUMA Black', 'PUMA Black-Icy Blue-Speed Green']",['Style: 376169_01'],['Reviews (6)Average: 4.5 / 5Write A ReviewRead All ReviewsRead All'],[]
142,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['For All Time Red-Ultra Blue', 'PUMA White-Fire Orchid']",['Style: 376311_04'],['Reviews (3)Average: 3.7 / 5Write A ReviewRead All ReviewsRead All'],['33.3']
143,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Adriatic-PUMA Black-Ravish'],['Style: 376946_08'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],[]
144,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14', '14.5', '15', '15.5', '16', '16.5']","['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']",['Style: 379082_05'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
145,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14', '14.5', '15', '15.5', '16', '16.5']","['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']",['Style: 379082_04'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
146,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['For All Time Red-Ultra Blue', 'PUMA White-Fire Orchid']",['Style: 376311_05'],['Reviews (3)Average: 3.7 / 5Write A ReviewRead All ReviewsRead All'],['33.3']
147,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14', '14.5', '15', '15.5', '16', '16.5']","['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']",['Style: 379082_03'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
148,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14', '14.5', '15', '15.5', '16', '16.5']","['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']",['Style: 379082_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
149,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14', '14.5', '15', '15.5', '16', '16.5']","['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']",['Style: 379082_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
