,ShoeName,URL,no_colors,price_reduce,price,Category
63,ForeverRUN NITRO™ Women's Running ShoesPUMA Black-PUMA White,/us/en/pd/foreverrun-nitro%E2%84%A2-womens-running-shoes/377758?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,-,$150.00,Women
64,KING ULTIMATE FG/AG Women's Soccer CleatsAlpine Snow-Asphalt-Yellow Blaze,/us/en/pd/king-ultimate-fg-ag-womens-soccer-cleats/107565?swatch=03&referrer-category=womens-shop-all-womens,2 Colors,-,$200.00,Women
65,Palermo Women's Leather SneakersPUMA Black-Feather Gray-Gum,/us/en/pd/palermo-womens-leather-sneakers/397647?swatch=03&referrer-category=womens-shop-all-womens,2 Colors,-,$90.00,Women
66,Deviate NITRO™ 2 Women's Running ShoesPUMA Black-Fire Orchid,/us/en/pd/deviate-nitro%E2%84%A2-2-womens-running-shoes/376855?swatch=17&referrer-category=womens-shop-all-womens,3 Colors,-,$160.00,Women
67,Mayze Classic Women's SneakersPuma Black,/us/en/pd/mayze-classic-womens-sneakers/384209?swatch=02&referrer-category=womens-shop-all-womens,2 Colors,-,$90.00,Women
68,ULTRA ULTIMATE FG/AG Women's Soccer CleatsUltra Blue-PUMA White-Pro Green,/us/en/pd/ultra-ultimate-fg-ag-womens-soccer-cleats/107507?swatch=03&referrer-category=womens-shop-all-womens,2 Colors,-,$220.00,Women
69,Mayze Stack Injex Women's SandalsFrosted Ivory,/us/en/pd/mayze-stack-injex-womens-sandals/389454?swatch=05&referrer-category=womens-shop-all-womens,2 Colors,-,$60.00,Women
70,Velophasis Multi SneakersChocolate Chip-Flaxen,/us/en/pd/velophasis-multi-sneakers/393449?swatch=02&referrer-category=womens-shop-all-womens,1 Color,-,$120.00,Women
71,Palermo SneakersCobalt Glaze-PUMA White,/us/en/pd/palermo-sneakers/396463?swatch=07&referrer-category=womens-shop-all-womens,5 Colors,-,$90.00,Women
72,Run XX NITRO™ 2 Women's Running ShoesKoral Ice-Speed Green,/us/en/pd/run-xx-nitro%E2%84%A2-2-womens-running-shoes/378482?swatch=02&referrer-category=womens-shop-all-womens,2 Colors,-,$140.00,Women
73,Clyde Tokyo SneakersSedate Gray-Pinktastic,/us/en/pd/clyde-tokyo-sneakers/393078?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$110.00,Women
