,count_of_sizes,colors,product_code,quality,n_reviews,star_rating
188,12,"['Puma White-Marshmallow-Purple Charcoal', 'PUMA White-Lavender Fog-Anise Flower', 'PUMA White-Spring Lavender', 'PUMA White-Peach Smoothie']",386270_15,,5,4.2
189,13,"['Silver Sky-PUMA Black-Fire Orchid', 'Alpine Snow-Asphalt-Yellow Blaze']",107565_01,,0,0.0
190,5,"['PUMA Black-PUMA Black', 'Pristine-Pristine']",389082_02,72.7,12,3.5
191,12,['Ash Gray-Concrete Gray-Sedate Gray-Alpine Snow-PUMA Silver'],395119_01,,0,0.0
192,9,"['PUMA White-Marshmallow', 'PUMA White-Warm White-Dark Jasper']",389853_04,,1,1.0
193,11,"['Flat Dark Gray-Frosted Ivory', 'Concrete Gray-Frosted Ivory']",393752_01,100.0,1,5.0
194,12,['Frosty Pink-Ghost Pepper'],394009_01,100.0,1,5.0
195,12,['Granola-Day Dream'],389894_02,,0,0.0
196,13,"['Flat Dark Gray-Frosted Ivory', 'Concrete Gray-Frosted Ivory']",393752_02,100.0,1,5.0
197,12,['Glowing Pink-Desert Clay-PUMA White'],392884_02,71.9,40,3.9
198,10,"['Puma White-Marshmallow-Purple Charcoal', 'PUMA White-Lavender Fog-Anise Flower', 'PUMA White-Spring Lavender', 'PUMA White-Peach Smoothie']",386270_09,75.0,5,4.2
199,10,['PUMA White-Pearl Pink'],391096_02,,1,3.0
200,12,"['PUMA White-Warm White', 'PUMA White-Summer Green']",391098_07,100.0,1,5.0
201,12,"['Frosty Pink-Flaxen', 'Warm White-Spring Fern']",393032_01,,1,5.0
202,11,['PUMA White-Pop Red'],307874_01,0.0,1,1.0
203,12,"['PUMA Black-Vivid Violet', 'PUMA White-Vivid Violet']",391013_01,0.0,2,3.5
204,12,['PUMA White'],391086_01,33.3,4,4.3
205,12,['Toasted-PUMA White'],393777_01,,0,0.0
206,12,"['Frosty Pink-Flaxen', 'Warm White-Spring Fern']",393032_02,,1,5.0
207,12,"['PUMA Black-Vivid Violet', 'PUMA White-Vivid Violet']",391013_02,0.0,2,3.5
208,11,['Granola-PUMA White'],393193_01,,0,0.0
209,9,"['PUMA White-Warm White', 'PUMA White-Summer Green']",391098_01,100.0,1,5.0
210,12,['PUMA White-Ravish'],389893_01,,0,0.0
211,12,['Puma Black-Poppy Red-Blue Glow'],387289_01,0.0,2,4.0
212,12,['Sand Dune-Green Fog-Fall Foliage'],396115_01,75.0,4,4.0
213,12,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']",381410_73,82.3,160,4.2
214,7,['Fast Yellow-Marble-Warm White'],383380_06,,17,4.6
215,11,['Puma Black'],384412_02,100.0,2,5.0
216,9,['PUMA White-Pristine'],391226_01,,0,0.0
217,13,['PUMA White-PUMA Black-Spring Lavender-Minty Burst'],107329_01,,0,0.0
218,9,['Puma White-Nimbus Cloud'],387157_01,50.0,4,3.5
