,product_code,count_of_sizes,colors
36,HQ9115,13,"['Off White / Wonder Taupe / Pink Strata', 'Grey Two / Grey Three / Blue Dawn S23', 'Core Black / Grey Three / Grey Five', 'Core Black / Cloud White / Aluminium', 'Cloud White / Magic Beige F22 / Ecru Tint', 'Cloud White / Grey One / Silver Metallic', 'Sand / Chalky Brown S22 / Wonder White F21', 'Shadow Red / Super Pop / Beam Orange F22', 'Off White / Beam Orange / Super Pop']"
37,IG2971,8,"['Supplier Colour / Cloud White / Supplier Colour', 'Maroon / Crystal White / Maroon', 'Cloud White / Semi Court Green / Cloud White', 'Cloud White / Clear Sky / Cloud White', 'Arctic Night / Cream White / Cloud White', 'Shadow Violet F23 / Crystal White / Shadow Violet F23', 'Silver Green S23 / Crystal White / Green Oxide S21']"
38,HP6651,9,"['Lucid Fuchsia / Blue Dawn / Cloud White', 'Cloud White / Core Black / Core Black']"
39,ID9676,5,"['Cloud White / Cloud White / Violet Fusion S23', 'Silver Dawn / Silver Dawn / Silver Violet', 'Core Black / Core Black / Beam Pink F22', 'Grey One / Grey Three / Cloud White', 'Core Black / Core Black / Cloud White', 'Cloud White / Cloud White / Cloud White', 'Off White / Off White / Silver Metallic', 'Light Solid Grey / Silver Dawn / Solar Red', 'Cloud White / Zero Metalic / Lucid Pink', 'Arctic Night / Arctic Night / Lucid Pink', 'Silver Dawn / Silver Dawn / Almost Pink', 'Pink Fusion / Pink Fusion / Gold Metallic', 'Off White / Off White / Gold Metallic', 'Off White / Crew Blue / Bliss Lilac', 'Carbon / Carbon / Bright Red', 'Shadow Red / Shadow Red / Core Black', 'Magic Beige / Magic Beige / Off White', 'Wonder Beige / Wonder Beige / Wonder White', 'Cloud White / Cloud White / Silver Metallic', 'Wonder Beige / Wonder Taupe / Impact Orange', 'Grey Five / Grey Five / Pink Fusion', 'Off White / Off White / Wonder Quartz']"
40,GW4569,14,"['Core Black / Cloud White / Team Shock Pink 2', 'Cloud White / Cloud White / Core Black', 'Core Black / Core Black / Cloud White', 'Team Solar Orange / Core Black / Core Black', 'Cloud White / Core Black / Lucid Lemon', 'Bright Royal / Cloud White / Bliss Blue']"
41,ID6715,13,"['Wonder Silver F23 / Semi Flash Aqua F23 / Lucid Lemon F23', 'Core Black / Grey Six / Semi Impact Orange']"
42,GZ2133,9,"['Off White / Wonder Taupe / Pink Strata', 'Grey Two / Grey Three / Blue Dawn S23', 'Core Black / Grey Three / Grey Five', 'Core Black / Cloud White / Aluminium', 'Cloud White / Magic Beige F22 / Ecru Tint', 'Cloud White / Grey One / Silver Metallic', 'Sand / Chalky Brown S22 / Wonder White F21', 'Shadow Red / Super Pop / Beam Orange F22', 'Off White / Beam Orange / Super Pop']"
43,HQ9918,10,"['Sand Strata S23 / Sand Strata S23 / Sand Strata S23', 'Olive Strata / Olive Strata / Olive Strata', 'Carbon / Carbon / Core Black']"
44,GV8920,8,"['Bliss Lilac F22 / Beam Orange F22 / Pulse Magenta F22', 'Core Black / Core Black / Grey Six', 'Wonder Steel F22 / Grey Three / Purple', 'Trace Grey / Crystal White / Impact Orange F22', 'Core Black / Core Black / Grey Six', 'Wonder Taupe S23 / Taupe Met. S23 / Impact Orange F22', 'Acid Orange S21 / Sand Strata S23 / Silver Violet S23', 'Silver Dawn S23 / Blue Dawn S23 / Silver Violet S23', 'Wonder Silver F23 / Wonder Silver F23 / Lucid Lemon F23']"
45,IG5876,6,"['Team Colleg Gold 2 / Team Colleg Gold 2 / Team Maroon 2', 'Cloud White / Cloud White / Collegiate Navy', 'Core Black / Core Black / Team Colleg Gold 2', 'Off White / Team Victory Red / Cloud White', 'Cloud White / Cloud White / Collegiate Royal', 'Cloud White / Cloud White / Team Power Red 2', 'Core Black / Collegiate Green / Team Orange', 'Cloud White / Cloud White / Team Power Red 2', 'Team Power Red 2 / Team Power Red 2 / Core Black', 'Cloud White / Cloud White / Team Power Red 2', 'Core Black / Core Black / Team Power Red 2', 'Cloud White / Cloud White / Team Maroon 2', 'Core Black / Carbon / Grey Six', 'Halo Silver S21 / Preloved Yellow F23 / Royal Blue', 'Core Black / Better Scarlet S23 / Royal Blue', 'Core Black / Core Black / Lucid Lemon', 'Core Black / Core Black / Team College Purple']"
46,IF8170,6,"['Silver Violet S23 / Cloud White / Silver Dawn S23', 'Core Black / Cloud White / Carbon', 'Arctic Night F23 / Lucid Lemon F23 / Carbon', 'Cloud White / Silver Metallic / Grey Five', 'Royal Blue / Zero Metalic / Lucid Lemon F23']"
47,GX9835,4,"['Bold Green / Signal Orange / Vivid Berry', 'Bahia Magenta / Bahia Magenta / Collegiate Green', 'Royal Blue / Cloud White / Royal Blue', 'Core Black / Cloud White / Core Black', 'Mystery Blue / Hi-Res Yellow / Mystery Blue', 'Vision Met. / Vision Met. / Grey Two', 'Core Black / Grey Six / Core Black', 'Core Black / Core Black / Core Black', 'Core Black / Gold Metallic / Core Black', 'Core Black / Core Black / Beam Pink F22', 'Cloud White / Cloud White / Matte Gold', 'Grey Two / Silver Metallic / Grey Two', 'Sand Strata / Purple / Sand Strata', 'Ecru Tint / Coral Fusion / Ecru Tint', 'Night Indigo / Cloud White / Night Indigo']"
48,IG0310,13,"['Cloud White / Cloud White / Grey Five', 'Core Black / Cloud White / Carbon']"
49,HQ8392,13,"['Grey Six / Silver Metallic / Better Scarlet', 'Solar Orange / Taupe Met. S23 / Ecru Tint', 'Crystal White / Impact Orange F22 / Semi Pulse Lilac F22']"
50,HP7496,10,"['Bliss Lilac F22 / Beam Orange F22 / Pulse Magenta F22', 'Core Black / Core Black / Grey Six', 'Wonder Steel F22 / Grey Three / Purple', 'Trace Grey / Crystal White / Impact Orange F22', 'Core Black / Core Black / Grey Six', 'Wonder Taupe S23 / Taupe Met. S23 / Impact Orange F22', 'Acid Orange S21 / Sand Strata S23 / Silver Violet S23', 'Silver Dawn S23 / Blue Dawn S23 / Silver Violet S23', 'Wonder Silver F23 / Wonder Silver F23 / Lucid Lemon F23']"
51,GY4189,11,"['Off White / Wonder Taupe / Pink Strata', 'Grey Two / Grey Three / Blue Dawn S23', 'Core Black / Grey Three / Grey Five', 'Core Black / Cloud White / Aluminium', 'Cloud White / Magic Beige F22 / Ecru Tint', 'Cloud White / Grey One / Silver Metallic', 'Sand / Chalky Brown S22 / Wonder White F21', 'Shadow Red / Super Pop / Beam Orange F22', 'Off White / Beam Orange / Super Pop']"
52,HQ1049,11,"['Core Black / Grey Three / Mint Ton', 'Semi Flash Aqua F23 / Core Black / Preloved Yellow F23']"
53,IF6603,13,"['Grey Five / Grey Four / Bliss Lilac', 'Core Black / Carbon / Iron Metallic', 'Cloud White / Crystal White / Zero Metalic', 'Off White / Wonder Beige / Off White', 'Grey One / Grey Three / Cloud White', 'Aluminium / Wonder Quartz / Wonder Beige']"
54,ID6946,11,"['Pulse Mint / Zero Metalic / Lucid Fuchsia', 'Grey One / Silver Metallic / Silver Dawn', 'Core Black / Cloud White / Carbon', 'Cloud White / Core Black / Arctic Fusion', 'Wonder Blue / Lucid Lemon / Arctic Night', 'Silver Violet / Zero Metalic / Silver Dawn', 'Light Aqua / Carbon / Solar Red', 'Chalk White / Silver Metallic / Wonder Blue']"
55,GZ9257,18,"['Cream White / Dark Brown / Sand Strata', 'Grey Four / Better Scarlet S23 / Core Black', 'Core Black / Cloud White / Collegiate Gold', 'Grey Three / Core Black / Grey Five', 'Core Black / Core Black / Bliss', 'Feather Grey / Feather Grey / Acid Orange S21', 'Cloud White / Solar Yellow / Cloud White', 'Metal Grey / Feather Grey / Sand', 'Grey Three / Grey Three / Grey Five', 'Cloud White / Cloud White / Grey One', 'Cloud White / Cloud White / Vivid Red S21', 'Trace Grey / Cloud White / Core Black', 'Magic Lime S22 / Cloud White / Core Black', 'Red / Royal Blue / Off White', 'Vivid Red S21 / Cloud White / Gum', 'Legend Ink / Cloud White / Gum', 'Better Scarlet / Team Victory Red / Core Black', 'Core Black / Core Black / Cloud White', 'Cloud White / Cloud White / Core Black', 'Core Black / Core Black / Core Black', 'Core Black / Core Black / Gum', 'Core Black / Cloud White / Grey Five', 'Cloud White / Cloud White / Cloud White', 'Cloud White / Cloud White / Gum', 'Cloud White / Core Black / Grey Three', 'Mineral Green / Mineral Green / Cloud White', 'Collegiate Gold / Impact Yellow F22 / Core Black', 'Shadow Navy / Cloud White / Collegiate Burgundy', 'Shadow Navy / White Tint / Glory Red', 'White Tint / Glory Red / Semi Lucid Blue', 'Core Black / Semi Lucid Blue / Glory Red', 'Core Black / Active Teal / Cloud White', 'Shadow Navy / Grey Two / Core Black', 'Cloud White / Solar Orange / Core Black', 'Cloud White / Off White / Solar Red', 'Cloud White / Semi Lucid Blue / Core Black', 'Core Black / Semi Lucid Blue S23 / Cloud White', 'Crystal White / Cloud White / Better Scarlet', 'Cloud White / Core Black / Bright Red', 'Core Black / Royal Blue / Cloud White', 'Grey Three / Core Black / Cloud White', 'Core Black / Core Black / Cloud White', 'Focus Olive / Core Black / Shadow Olive', 'Core Black / Carbon / Grey Five']"
