,count_of_sizes,colors,color,product_code
47,"['36', '37', '38', '39', '40']","['PINK', 'LGREY']",['PINK'],['FLC0DY0T7822A']
48,[],"['RUST', 'MUSTARD']",['RUST'],['FLC0310T9042A']
49,"['36', '37', '38', '39', '40', '41']",['NAVY'],['NAVY'],['FLC0260U2622A']
50,"['37', '38', '39', '40', '41']",['PINK'],['PINK'],['FLC0H40T0762A']
51,"['36', '37', '38', '39', '40', '41']",['LGREY'],['LGREY'],['FLC0H40U3342A']
52,"['36', '37', '38', '39', '40']",['BLACK'],['BLACK'],['FLC0R70U3282A']
53,"['36', '37', '38', '39', '40', '41']","['ORANGE', 'NAVY']",['ORANGE'],['FLC051017981A']
54,"['37', '38', '39', '40']",['PINK'],['PINK'],['FLC0510T0572A']
55,"['38', '40']","['LPINK', 'SKY_BLUE', 'GREY']",['LPINK'],['FLC0AI024471A']
56,"['37', '38', '39', '40']",['LBROWN'],['LBROWN'],['FLC0510T7112A']
57,"['36', '37', '38', '39', '40', '41']",['GREY'],['GREY'],['FLC0H40U3332A']
58,"['39', '40']","['RED', 'NUDE', 'BLUE']",['RED'],['FLC0260U2552A']
59,['38'],"['BLACK', 'WHITE']",['BLACK'],['FLC0BA025051A']
60,"['37', '39', '40', '41']",['LBLUE'],['LBLUE'],['FLC0510T0792A']
61,"['38', '40']","['ORANGE', 'WHITE', 'OBLUE', 'BLACK']",['ORANGE'],['FLC0Z3022441A']
62,[],"['BLACK', 'WHITE']",['BLACK'],['FLC0Z3028911A']
63,"['36', '37', '38', '39', '40', '41']","['RED', 'SILVER']",['RED'],['FLC0260V3482A']
64,[],"['GRAFFITI_WHITE', 'PINK']",['GRAFFITI/WHITE'],['FLC0180U6582A']
65,[],"['GREY', 'PINK']",['GREY'],['FLC0260U2592A']
66,['36'],"['BLACK', 'BLUE']",['BLACK'],['FLC0G2025001A']
67,"['38', '39', '40']",['PURPLE'],['PURPLE'],['FLC0H40T0752A']
68,"['39', '40', '41']",['NAVY'],['NAVY'],['FLC0180T0962A']
69,['40'],"['OWHITE', 'NAVY']",['OWHITE'],['FLC0B3024821B']
70,"['40', '41']",['WHITE'],['WHITE'],['FLC0180V3482A']
71,['40'],"['WHITE', 'BLACK']",['WHITE'],['FLC0Z3022431A']
72,"['40', '41', '42', '43', '44', '45']","['BLACK', 'NAVY', 'GREY']",['BLACK'],['FGC026041122A']
73,"['40', '41', '42', '43', '44', '45']","['NAVY', 'BLACK']",['NAVY'],['FGC0Y9039132A']
74,"['40', '41', '42', '43', '44', '45']","['WHITE', 'GREY', 'CAMEL']",['WHITE'],['FGC0Z7044742A']
75,"['40', '41', '42', '43', '44', '45']","['NAVY', 'BLACK', 'GREY']",['NAVY'],['FGC0Z7041612A']
76,"['40', '43', '44']","['BLACK', 'NAVY', 'TAN']",['BLACK'],['FGC0Z7044752A']
77,"['41', '45']","['BLACK_LGREY', 'NAVY_RED', 'LGREY_RBLUE']",['BLACK/LGREY'],['FGC0Y9040822A']
78,['43'],"['GREY', 'NAVY', 'BLACK']",['GREY'],['FGC0Z7041642A']
79,"['40', '41', '42', '43', '44']","['SNAYPE', 'DNAVY']",['SNAYPE'],['FGC0L4033001A']
80,"['40', '41', '44']","['TEAL', 'DGREY', 'NAVY']",['TEAL'],['FGC026041142A']
81,"['40', '41', '42', '44']","['DGREY', 'BLACK']",['DGREY'],['FGC0Y9039142A']
