,count_of_sizes,colors,product_code,star_rating,Size,comfort,quality,n_reviews,yes_recommendations,%_recommended
203,18,"['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color']",FJ8895-900,,,,,,,
204,7,"['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color']",846440-998,,,,,,,
205,7,['Hemp/Sail/Velvet Brown/Light Soft Pink'],DX2314-200,4.5,17.0,67.0,36.33,4.0,1.0,25.0
206,9,"['Black/Volt/White', 'Ashen Slate/Diffused Blue/University Blue/White', 'Sail/Bicoastal/Campfire Orange/Safety Orange', 'Black/University Red/Lime Blast/White', 'White/Light Smoke Grey/Black', 'Black/Field Purple/University Gold']",FV0400-001,0,,,,0.0,,
207,17,"['Black/Black/White', 'Wolf Grey/Wolf Grey/White', 'White/Black/Black', 'Game Royal/Game Royal/White', 'Midnight Navy/Midnight Navy/White', 'Court Purple/Court Purple/White', 'University Red/University Red/White']",DZ3299-002,4.8,45.0,95.0,80.0,9.0,9.0,100.0
208,15,"['Cacao Wow/Coconut Milk/Black/Sail', 'Medium Olive/Coconut Milk/Black/Sail', 'Blue Whisper/Sail/Black/Football Grey', 'Light Bone/Alabaster/Black/Sail']",DV7006-200,4.6,,,,82.0,,
209,12,"['Black/Iron Grey/Dark Smoke Grey/White', 'Barely Rose/Pink Oxford/White/Rose Whisper']",DD9291-600,4.5,38.0,75.0,56.5,119.0,,
210,20,"['Black', 'White']",166800C-001,5,50.0,100.0,57.41,9.0,2.0,22.22
211,15,"['White/Summit White/Platinum Tint/White', 'Black/Anthracite/Particle Grey/Black', 'Cobblestone/Light Orewood Brown/Black/Reflect Silver']",FD6409-003,4.7,47.0,89.0,49.63,31.0,4.0,12.9
212,26,['Multi-Color/Multi-Color/Multi-Color'],FJ4036-900,,,,,,,
213,15,"['Lapis/Deep Royal Blue/White/Pure Platinum', 'Summit White/White/Sail/Light Smoke Grey', 'Black/Anthracite/Bright Crimson/White', 'Light Iron Ore/Amethyst Ash/White/Black', 'Aura/White/Barely Green/Ashen Slate', 'Pink Oxford/White/Barely Rose/Summit White', 'Phantom/White/Black/Sanded Gold']",DQ2904-002,4.6,55.0,93.0,66.0,22.0,11.0,50.0
214,16,"['Black/Black/Gum Light Brown/White', 'White/White/White/Black']",DC7695-100,4.9,47.0,88.0,48.92,17.0,2.0,11.76
215,4,['White/Bright Crimson/Pink Blast/Black'],DJ4471-121,0,,,,0.0,,
216,2,['Wolf Grey/Wolf Grey/Gum Light Brown/White'],DV5472-001,0,,,,0.0,,
217,26,"['Noble Red/Desert Berry/Guava Ice/Ice Peach', 'Geode Teal/Purple Ink/Total Orange/Jade Ice', 'Fossil Stone/Alabaster/Desert Berry/Celestial Gold', 'Black/Pure Platinum/White', 'Blue Lightning/Phantom/Ice Peach/Emerald Rise', 'Light Orewood Brown/Medium Soft Pink/Blue Lightning/Emerald Rise', 'White/White/Black', 'Black/Fuchsia Dream/Baltic Blue/Phantom', 'Gym Red/Fir/Court Purple/Metallic Gold']",DX4985-003,4.5,47.0,72.0,69.55,29.0,26.0,89.66
218,2,"['Black/Sand/Sail/Multi-Color', 'Flat Opal/White/Multi-Color']",DV2957-001,5,55.0,90.0,81.67,10.0,10.0,100.0
219,0,"['Sail/Sail/Rattan/Black', 'Sail/Total Orange/Laser Orange/Cobalt Bliss', 'White/Volt/Racer Blue/Black', 'Coconut Milk/Mint Foam/Volt/Cave Purple', 'Black/White/Sail/Metallic Gold Grain', 'White/Metallic Silver/Black', 'White/Clear Jade/Light Ultramarine/Deep Jungle', 'Hyper Pink/Laser Orange/Black', 'University Red/Sea Glass/White/Blue Joy']",FN3435-148,5,,,,1.0,,
220,0,"['White/White/White/White', 'Off Noir/Summit White/Plum Fog/Pink Prime']",DR7880-001,4,,,,4.0,,
221,18,"['White/White/Black/Black', 'White/Varsity Royal/White/Varsity Red', 'Black/Black/White/White']",DH9227-101,4.2,37.0,63.0,35.56,15.0,1.0,6.67
222,24,"['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color']",FJ8890-905,,,,,,,
223,12,"['Gridiron/Summit White/Summit White/Black', 'Black/Black/Black/Anthracite', 'Neutral Olive/Action Grape/Light Orewood Brown/Gridiron', 'Laser Orange/Laser Orange/Light Orewood Brown/Light Orewood Brown', 'Light Iron Ore/Flat Pewter/Light Iron Ore/Black']",DV7903-003,4.3,47.0,72.0,47.55,93.0,22.0,23.66
224,11,"['Black/Dark Smoke Grey/White', 'Photon Dust/Polar/Lime Blast/Bright Mandarin', 'Black/White/Fireberry/Metallic Gold', 'Sanddrift/White/Oxygen Purple/Diffused Blue', 'Jade Ice/Clear Jade/Coconut Milk/Picante Red']",DD9283-011,4.4,39.0,63.0,34.47,213.0,3.0,1.41
225,0,[None],,,,,,,,
226,1,['White/Pure Platinum/Wolf Grey/White'],CZ6559-110,4.2,50.0,100.0,51.85,18.0,1.0,5.56
227,17,"['White/Black/Clear/Metallic Silver', 'Black/Sanddrift/Vivid Purple/Multi-Color']",DV7409-100,4.5,,,,4.0,,
228,15,"['Black/Medium Ash/Gum Light Brown/Black', 'Sail/Pale Vanilla/Gum Medium Brown/College Grey']",FB9894-001,4.5,34.0,75.0,64.11,6.0,5.0,83.33
229,15,['Off Noir/Guava Ice/Cool Grey/Sky J Mauve'],DX4400-005,4,,,,3.0,,
230,20,"['White/White/Black', 'White/White/Metallic Vivid Gold']",FD0090-101,0,,,,0.0,,
231,23,"['University Red/White', 'Game Royal/White', 'White/Black', 'Black/White']",CI2964-610,4.5,25.0,75.0,50.0,4.0,2.0,50.0
232,0,[None],,,,,,,,
233,15,"['Black/White', 'Sundial/Monarch/White', 'White/Luminous Green/High Voltage', 'White/Pure Platinum/Black', 'Phantom/Photon Dust/Light Bone/Iron Grey', 'White/Kelly Green']",DR6192-104,4.6,50.0,90.0,57.78,9.0,3.0,33.33
234,17,"['Sail/Gum Yellow/Oil Grey', 'Sail/Gum Yellow/Night Maroon', 'Sail/Gum Yellow/Hyper Blue', 'Sail/Gum Yellow/Desert Orange', 'Sail/Gum Yellow/Lucid Green', 'Sail/Gum Yellow/Black/Sail', 'Sail/Gum Yellow/Midnight Navy']",432997-111,4.7,57.0,72.0,44.69,118.0,6.0,5.08
235,2,['Green Abyss/Phantom/Gum Yellow/Green Abyss'],DV5468-300,3.6,37.0,64.0,50.33,12.0,6.0,50.0
236,12,"['Black/White', 'Dark Smoke Grey/Olive Grey/Metallic Copper/Metallic Silver']",DR9831-001,4.6,47.0,92.0,46.61,359.0,3.0,0.84
237,10,"['Phantom/Sanddrift/White/Dark Smoke Grey', 'Pearl White/Barely Green/Sail/Medium Blue', 'Black/Pure Platinum/White/Metallic Silver']",DJ6945-200,4.8,50.0,100.0,51.82,55.0,3.0,5.45
238,2,"['White/Volt/Photon Dust/Black', 'Black/Sanddrift/Aura/Boarder Blue', 'Multi-Color/Multi-Color/Multi-Color', 'Psychic Purple/Midnight Navy/Ghost/Dark Marina Blue', 'White/Black/Royal Tint/White']",DC1975-001,4.9,63.0,88.0,75.5,74.0,,
239,11,"['White/White/Grey Fog', 'Gym Red/White/White', 'Black/Grey Fog/White']",FB2863-600,4.7,65.0,95.0,81.11,12.0,10.0,83.33
240,5,"['Light Liquid Lime/Pistachio Frost/Lime Ice/Black', 'Light Bone/Sanddrift/Iron Grey/White']",DZ4874-300,5,50.0,84.0,67.0,3.0,,
241,11,['Black/Grey Fog/Laser Orange/White'],CV5708-010,4.4,25.0,82.0,40.87,32.0,5.0,15.62
242,15,"['Light Bone/Wheat/White/Black', 'Black/Cave Purple/Lilac/Hyper Pink', 'Black/Pure Platinum/White', 'Venice/White/Blackened Blue/Rush Pink', 'Blackened Blue/Dark Atomic Teal/Cyber/Sunset Pulse', 'White/Mint Foam/Black/Metallic Silver', 'Black/Lapis/Light Thistle/Doll', 'Black/Off Noir']",CZ3668-017,4.2,31.0,83.0,57.0,55.0,,
243,15,"['Black/White', 'Pink Oxford/Gum Light Brown/White/Summit White', 'White/Pure Platinum/Metallic Platinum']",CU4874-600,4.6,,,,120.0,,
244,8,['White'],560251F-102,4.5,,,,27.0,,
245,15,"['Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color']",DO7436-900,,,,,,,
246,25,"['Jade Ice/Black/Mineral/Pale Ivory', 'Hyper Pink/Fierce Pink/Pearl Pink/Fireberry', 'Bright Mandarin/Camellia/Orange Frost/Lime Blast', 'Sail/Light Orewood Brown/Pink Spell/Black']",FQ8706-300,4.5,34.0,77.0,54.95,26.0,14.0,53.85
247,18,"['White/Neutral Grey/Black', 'White/Neutral Grey/Fire Red']",DZ6763-102,5,50.0,84.0,78.0,3.0,3.0,100.0
248,19,['White/University Red/White/Midnight Navy'],FD0268-100,5,50.0,100.0,83.33,1.0,1.0,100.0
249,20,"['Racer Blue/Lime Blast/Safety Orange/White', 'Sail/Light Lemon Twist/Guava Ice/Fierce Pink', 'Hyper Pink/Laser Orange/Black', 'White/Metallic Silver/Black']",DR2733-400,4,50.0,50.0,50.0,2.0,1.0,50.0
250,21,"['Black/Bright Crimson/Wolf Grey/White', 'Black/Summit White/Pure Platinum/Armory Navy', 'Phantom/Light Orewood Brown/Hemp/Metallic Red Bronze', 'Black/Anthracite/Racer Blue/White', 'Wolf Grey/Mineral/Diffused Blue/Burgundy Crush', 'Black/Off Noir/Anthracite', 'White/Pure Platinum/Black']",DM1124-002,4.6,30.0,90.0,45.91,62.0,11.0,17.74
251,15,"['Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color']",DZ3638-900,,,,,,,
252,25,['Cedar/Earth/Football Grey/Ice Peach'],FV3526-600,0,,,,0.0,,
253,8,"['White/Sail/Stadium Green', 'Black/Gum Medium Brown/Sail', 'Summit White/Valerian Blue/White/Team Red', 'Sail/Sesame/Pure Platinum/Phantom']",DC3590-105,4.6,54.0,83.0,48.75,54.0,5.0,9.26
254,24,"['Wolf Grey/Wolf Grey/White', 'Black/Black/White', 'Apple Green/Apple Green/White', 'University Gold/University Gold/White']",FQ3391-010,0,,,,0.0,,
255,25,"['Racer Blue/Safety Orange/Lime Blast/White', 'Anthracite/Black/Light Lemon Twist/Fierce Pink', 'Black/Dark Smoke Grey/Light Smoke Grey/Metallic Silver']",DR2756-400,4.3,,,,7.0,,
256,4,"['Metallic Gold/Black/Black', 'Black/Black/White', 'White/White/Black']",DC0496-100,4.5,40.0,93.0,44.91,174.0,3.0,1.72
257,1,['Summit White/Wolf Grey/Black/Rosewood'],DV1163-100,0,,,,0.0,,
258,26,['Multi-Color/Multi-Color/Multi-Color'],FJ4036-900,,,,,,,
259,15,"['Black/Black/White', 'White/White/White', 'White/Siren Red/Metallic Platinum', 'White/White/Black']",CU4152-101,4.5,50.0,75.0,45.0,20.0,2.0,10.0
260,12,"['White/Total Orange/Light Smoke Grey/Total Orange', 'White/Summit White/Black', 'Barely Volt/Volt/Smokey Mauve/Flat Pewter']",DH7546-101,4.3,46.0,88.0,66.89,12.0,8.0,66.67
261,1,"['Arctic Orange/Light Marine/Light Madder Root/Medium Blue', 'Ashen Slate/Black/Photo Blue/White']",CZ4099-400,4.6,39.0,72.0,55.5,564.0,,
262,6,"['Light Bone/Wheat/White/Black', 'Black/Cave Purple/Lilac/Hyper Pink', 'Black/Pure Platinum/White', 'Venice/White/Blackened Blue/Rush Pink', 'Blackened Blue/Dark Atomic Teal/Cyber/Sunset Pulse', 'White/Mint Foam/Black/Metallic Silver', 'Black/Lapis/Light Thistle/Doll', 'Black/Off Noir']",CQ9545-556,4.2,28.0,77.0,37.05,293.0,18.0,6.14
263,8,"['Off Noir/Fire Red/Black', 'Sea Coral/Sail/White', 'Light Soft Pink/Phantom/Fire Red']",DO8863-660,4.1,59.0,64.0,44.7,18.0,2.0,11.11
264,8,"['Summit White/Summit White/Safety Orange/Cinnabar', 'Mica Green/Light Bone/Phantom/Rosewood', 'Smoke Grey/Vivid Purple/Phantom/Dark Smoke Grey', 'Limestone/Dark Driftwood/Sail/Green Glow', 'Black/Hyper Pink/Wolf Grey/Black', 'Wolf Grey/Grey Fog/Summit White/Navy', 'Black/Black/Wolf Grey/Cool Grey', 'Earth/Black/Photon Dust/Light Iron Ore', 'Hemp/Dark Russet/Total Orange/Coral Chalk', 'Light Bone/Diffused Blue/Summit White/Light Photo Blue', 'Cargo Khaki/Black/Bright Cactus/Moss', 'Cacao Wow/Cacao Wow/Viotech/Black']",DM8019-005,3.8,45.0,75.0,60.0,16.0,,
265,1,"['Black/Black/White', 'Black/White/Black']",CU3959-004,4.7,55.0,75.0,43.68,97.0,1.0,1.03
266,6,"['Black/Dark Smoke Grey/Sail/White', 'Sanddrift/Sail/Pearl White/Black']",DJ9976-100,4.8,50.0,100.0,55.88,17.0,3.0,17.65
267,15,"['White/Pure Platinum/Metallic Silver', 'Black/Diffused Blue/Football Grey/Metallic Red Bronze', 'Black/Smoke Grey/Pure Platinum/White', 'Black/Dark Smoke Grey/Iron Grey/Black', 'Barely Rose/Pink Oxford/White', 'White/Obsidian/Picante Red/Clear Jade', 'Summit White/White/Obsidian/Lime Blast']",DD9294-104,4.4,38.0,94.0,45.43,140.0,6.0,4.29
268,15,"['White/Pearl Pink/Football Grey/Medium Soft Pink', 'White/Platinum Tint/Black/Pure Platinum', 'Volt/White/Sequoia/Black', 'Black/Volt/White']",DM9073-700,4.5,66.0,91.0,78.5,139.0,,
269,1,"['Coconut Milk/Summit White/University Red/Team Red', 'Off White/Football Grey/Ghost Green/Multi-Color', 'Siren Red/Metallic Gold/Doll/Black', 'Black/Football Grey/Off Noir/Multi-Color', 'Off Noir/Football Grey/Bright Crimson/Multi-Color', 'Wolf Grey/Pure Platinum/Cone/Black']",DH1537-002,4.4,48.0,74.0,42.97,145.0,10.0,6.9
270,7,['Photon Dust/White/Photon Dust'],DR5377-001,5,,,,1.0,,
271,21,"['White/Laser Orange/Hyper Pink/Black', 'Mint Foam/Volt/Cave Purple']",CT0079-101,4.5,42.0,59.0,50.5,19.0,,
272,15,"['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color']",FZ4655-900,,,,,,,
273,22,"['Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color']",FJ8902-900,,,,,,,
274,15,"['Black/White', 'University Red/White', 'Wolf Grey/White', 'White/Black', 'Game Royal/White']",DZ2927-400,3,63.0,63.0,50.33,4.0,1.0,25.0
275,15,"['Black/Anthracite/White', 'Luminous Green/High Voltage/Volt/White', 'White/Kelly Green', 'White/Summit White/Black', 'Ember Glow/Noble Red/White']",DR6965-300,3.8,63.0,63.0,58.67,6.0,3.0,50.0
276,15,['Brown Kelp/Shadow Brown/Court Purple/Team Gold'],FD1643-300,3.7,34.0,50.0,61.33,3.0,3.0,100.0
277,10,"['Vivid Sulfur/Black/University Red/University Gold', 'Black/Black/Summit White/Anthracite', 'Phantom/Summit White/Dark Russet/Light Orewood Brown']",CZ0931-003,4.4,56.0,80.0,47.42,48.0,3.0,6.25
278,7,['Guava Ice/Hyper Pink/Light Orewood Brown/Fireberry'],FV1699-801,5,50.0,50.0,66.67,1.0,1.0,100.0
279,4,['Photon Dust/Diffused Blue/Pale Ivory/Black'],FZ5758-004,4.8,50.0,72.0,74.0,9.0,9.0,100.0
280,0,[None],,,,,,,,
281,15,"['Black/Cool Grey/Volt/White', 'Cool Grey/White/Volt/Black', 'White/Photon Dust/Volt/Black', 'University Red/White/Volt/Black', 'Midnight Navy/White/Volt/Black', 'University Red/Team Red/Habanero Red/White']",CZ5917-600,4.7,,,,29.0,,
282,26,"['Racer Blue/Safety Orange/White', 'Sail/Light Lemon Twist/Guava Ice/Fierce Pink', 'White/Metallic Silver/Pure Platinum/Black', 'Black/Light Smoke Grey/Dark Smoke Grey/Metallic Silver']",DC8749-101,4.6,,,,37.0,,
283,23,"['White/Wolf Grey/Dark Grey', 'University Red/White/Black', 'White/Cool Grey/Metallic Gold', 'Black/Dark Grey', 'Team Royal/White/Black']",AO2416-101,4.5,50.0,100.0,66.67,2.0,1.0,50.0
284,22,"['Black/Sunset Pulse/Lagoon Pulse/Multi-Color', 'White/Metallic Gold']",DM8199-064,0,,,,0.0,,
285,8,"['Sweet Beet/Team Red/Photon Dust/Black', 'Rough Green/Iron Grey/Velvet Brown/Flat Pewter']",DA2725-301,4.7,68.0,96.0,56.59,52.0,3.0,5.77
286,2,"['White/Pure Platinum/Game Royal', 'White/Pure Platinum/University Red', 'White/Pure Platinum/Black']",FN7400-140,5,50.0,100.0,83.33,1.0,1.0,100.0
287,22,"['White', 'Black', 'Navy']",M9622-410,5,67.0,100.0,83.5,17.0,,
288,2,"['Summit White/Light Silver/Polar/Bright Mandarin', 'Black/Black/White/White', 'Green Abyss/Desert Ochre/White/Green Abyss', 'Black/Hyper Royal/Gum Light Brown/Black', 'Cave Purple/Cave Purple/White', 'White/White/Gum Light Brown/Black']",DX6915-300,5,50.0,100.0,75.0,4.0,,
289,22,['Multi-Color/Multi-Color/Multi-Color'],FJ2253-901,,,,,,,
290,6,['Black/White'],DZ2795-001,4.3,50.0,50.0,38.1,7.0,1.0,14.29
291,3,"['Pure Platinum/White/Off White/Wolf Grey', 'Black/Anthracite/White']",849560-001,3.5,41.0,91.0,45.67,20.0,1.0,5.0
292,12,"['Vivid Sulfur/Sail/White/Black', 'Midnight Navy/White']",DZ2795-700,4.3,50.0,50.0,38.1,7.0,1.0,14.29
293,8,"['Noise Aqua/Noise Aqua/Summit White/Light Orewood Brown', 'Enamel Green/Enamel Green/Gum Light Brown/Summit White', 'Medium Soft Pink/Medium Soft Pink/Summit White/Black', 'Black/Black/Gum Light Brown/White', 'Black/Black/Gum Light Brown/White']",DR0126-600,4.3,42.0,79.0,49.86,14.0,4.0,28.57
294,12,"['Adobe/Guava Ice/Bright Crimson', 'Sesame/Coconut Milk/Desert Ochre', 'Enigma Stone/Elemental Gold/Seafoam']",CW3203-600,4.1,46.0,77.0,58.95,13.0,7.0,53.85
295,10,['Black/Siren Red/Racer Blue/Vivid Sulfur'],FN5714-001,5,34.0,67.0,67.0,3.0,3.0,100.0
296,13,['Burgundy Crush/Racer Blue/Black'],DD1901-600,4,,75.0,75.0,2.0,,
297,10,"['Phantom/Black/Atomic Green/Light Iron Ore', 'Black/Sail/Volt', 'Black/Metallic Gold', 'Black/Iron Grey/White/White']",DD9535-005,4.4,45.0,79.0,44.48,159.0,15.0,9.43
298,6,"['Sky J Purple/Sky J Purple', 'Light Silver/Light Silver', 'Ozone Blue/Ozone Blue', 'Brilliant Orange/Brilliant Orange', 'Sea Coral/Sea Coral', 'Celestial Gold/Celestial Gold']",FD2652-002,5,100.0,100.0,100.0,1.0,1.0,100.0
299,15,"['Black/Metallic Black/Black', 'Phantom/Smokey Mauve/Light Orewood Brown/Smokey Mauve', 'Summit White/Bright Crimson/Fierce Pink/Black', 'Phantom/Football Grey/Volt/White', 'White/Pure Platinum/Black', 'Light Silver/Buff Gold/Pink Oxford/Summit White']",FN0784-004,4.6,49.0,96.0,55.54,37.0,8.0,21.62
300,1,"['Obsidian/Summit White/Ashen Slate/Obsidian', 'White/White', 'Summit White/Summit White/White/Desert Ochre', 'White/Pearl Pink/Action Green/Opti Yellow', 'White/Black/Sanddrift', 'White/Black', 'Summit White/Coconut Milk/Summit White/Summit White', 'White/Sail/Doll/Military Blue', 'White/White/White']",DZ5211-100,0,,,,0.0,,
301,0,"['Sail/Rush Fuchsia/Violet Dust', 'Vivid Orange/Bright Cactus/Picante Red/Opti Yellow', 'White/Picante Red/Black', 'Blackened Blue/White', 'Purple Smoke/Black/Metallic Copper/Metallic Gold', 'Crimson Bliss/Total Orange/Pearl White']",DH3395-102,3.7,13.0,25.0,19.0,9.0,,
302,22,['Multi-Color/Multi-Color/Multi-Color'],FN0569-900,,,,,,,
303,2,"['Ironstone/Light Iron Ore/Light Bone/Malt', 'Canyon Purple/Doll/Grey Fog/Amethyst Wave']",DQ1979-500,4.3,50.0,100.0,75.0,4.0,,
304,8,"['Barely Rose/Barely Rose/Dark Smoke Grey', 'Black/White/Metallic Silver', 'Black/Hyper Pink']",AO3622-002,4.5,42.0,68.0,55.0,265.0,,
305,23,"['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color']",FB2390-900,,,,,,,
306,10,"['Wolf Grey/Blue Tint/University Blue/White', 'Black/Anthracite/Picante Red/Metallic Black', 'Light Fusion Red/Noble Red/Track Red/Bright Crimson', 'Black/White/Blue Tint/Black', 'Mica Green/Jade Ice/Industrial Blue/Bright Crimson']",DJ9431-001,4.7,48.0,97.0,68.11,59.0,35.0,59.32
307,18,"['White/Game Royal', 'Black/White', 'White/University Red', 'White/Black']",AA0286-106,4.7,34.0,83.0,39.08,402.0,1.0,0.25
308,15,"['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color']",FJ8900-900,,,,,,,
309,15,"['Doll/Magic Ember/Total Orange/Medium Ash', 'White/Total Orange/Black', 'Black/Metallic Silver/Total Orange/Summit White']",DX5655-500,4,50.0,84.0,66.89,3.0,2.0,66.67
310,17,"['White/Black/Sail/University Gold', 'Black/Anthracite/Sail/White', 'White/Pewter/Sail/Black', 'White/Black/Sail/Mystic Red', 'White/Black/Sail/Polar']",FB1362-100,4.9,50.0,88.0,75.63,9.0,8.0,88.89
311,22,['Multi-Color/Multi-Color/Multi-Color'],FN0569-900,,,,,,,
312,14,"['Black/Anthracite/Football Grey/White', 'Black/Anthracite/Bright Crimson/White', 'Industrial Blue/Jade Ice/Bright Crimson/Black', 'Track Red/Ember Glow/Sail/Football Grey', 'Pure Platinum/Summit White/Track Red/Metallic Silver']",DJ6015-603,4.6,40.0,81.0,42.1,113.0,6.0,5.31
313,15,['Multi-Color/Multi-Color'],FJ8900-900,,,,,,,
314,11,"['White/Metallic Silver', 'White/High Voltage/Luminous Green', 'Black/White/Metallic Red Bronze']",DV3279-102,4.4,50.0,50.0,35.42,16.0,1.0,6.25
315,3,['White/Black/Clear/Metallic Silver'],DV7408-100,4.9,50.0,84.0,69.67,12.0,9.0,75.0
316,4,"['White/Pure Platinum/Black/Amarillo', 'White/Pure Platinum/Black/College Navy']",DR6851-100,0,,,,0.0,,
317,7,"['Light Orewood Brown/Volt/Black/White', 'White/Night Maroon/Siren Red/Red Stardust']",DQ4124-105,4.3,43.0,64.0,36.47,83.0,2.0,2.41
318,15,"['Multi-Color/Black/Multi-Color', 'Fierce Pink/Fierce Pink/Fierce Pink', 'Black/Black/Black', 'Violet Ash/Vast Grey/Violet Ash', 'Jade Ice/Jade Ice/Jade Ice', 'Game Royal/Game Royal/Game Royal']",DX5048-600,,,,,,,
319,1,['Summit White/Sail/Photon Dust/Phantom'],FB5059-100,0,,,,0.0,,
320,5,"['Dark Driftwood/Canyon Purple/Dark Smoke Grey/Light Iron Ore', 'Black/Black/Anthracite/Grey Fog', 'Thunder Blue/Black/Summit White/Yellow Ochre', 'Solar Flare/Cinnabar/Cacao Wow/Action Grape', 'Pilgrim/Pilgrim/Black/Black']",DR1020-400,0,,,,0.0,,
321,22,"['Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color']",FN0569-900,,,,,,,
322,22,['Multi-Color/Multi-Color/Multi-Color'],FN0569-900,,,,,,,
323,0,[None],,,,,,,,
324,15,"['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color']",FB5057-900,,,,,,,
325,0,"['White/Hot Punch/Bright Cactus/Phantom', 'White/Volt/Black/Sea Coral', 'White/Grey Fog/Black/University Red', 'White/White/White', 'Black/White']",CD5434-001,4.7,68.0,74.0,47.68,583.0,6.0,1.03
326,22,['Multi-Color/Multi-Color/Multi-Color'],FN0569-900,,,,,,,
327,24,['Multi-Color/Multi-Color'],CU1722-960,,,,,,,
328,3,"['Champagne/Barely Rose/Arctic Pink/White', 'White/Iris Whisper/Pink Prime/Mystic Hibiscus', 'Black/Anthracite/Volt/White', 'Iris Whisper/Provence Purple/Black/White', 'Black/Thunder Blue/Ashen Slate/Metallic Gold Coin']",CW7358-601,4.7,50.0,89.0,46.42,808.0,2.0,0.25
329,0,[None],,,,,,,,
330,3,['Black/Metallic Silver/Thunder Blue/Iron Grey'],DC3730-001,4.7,75.0,100.0,87.5,16.0,,
331,12,['Smoke Grey/Light Smoke Grey/Dark Smoke Grey/Laser Orange'],DX9013-008,5,,100.0,100.0,1.0,1.0,100.0
332,13,"['University Red/White', 'Wolf Grey/White', 'Game Royal/White', 'White/Black']",FJ8915-400,5,34.0,100.0,78.0,3.0,3.0,100.0
333,12,['Cactus Flower/Egret'],A05685C-650,0,,,,0.0,,
334,1,"['White/Pearl Pink/Sail/White', 'Lilac/Barely Grape/University Blue/Black', 'Pink Blast/Photo Blue/Volt/Black', 'Pink Oxford/Rose Whisper/Metallic Silver/Pink Oxford', 'Black/Praline/Light British Tan/Habanero Red', 'White/Pure Platinum/Metallic Silver/White']",DZ5205-500,4.7,,,,3.0,,
335,4,"['White/White/Black', 'Varsity Red/White/Black', 'White/Palomino/White/Black', 'White/Field Purple/Black', 'Black/Tour Yellow/White']",DV5141-017,4.8,46.0,92.0,66.83,24.0,15.0,62.5
336,15,"['Beach/Metallic Gold/Sail/Beach', 'White/Pearl Pink/Medium Soft Pink', 'Black/Anthracite/White/Black']",FJ4576-100,3,,,,1.0,,
337,0,['Midnight Navy/Football Grey/Black'],FD6812-400,4.9,49.0,86.0,61.82,109.0,55.0,50.46
338,15,"['Sea Glass/Sesame/Summit White/Deep Jungle', 'Black/Cool Grey/Volt/White', 'Cool Grey/White/Volt/Black', 'Midnight Navy/White/Volt/Black', 'University Red/White/Volt/Black', 'White/Photon Dust/Volt/Black', 'White/Pure Platinum/Wolf Grey', 'Wolf Grey/Cool Grey/Pure Platinum/White', 'Black/Dark Grey/White']",DC8990-002,4.7,50.0,100.0,75.0,86.0,,
