,ShoeName,URL,no_colors,price_reduce,price,price_,Category
27,Y-3 Hicho,https://www.adidas.com/us/y-3-hicho/FZ6407.html,4 colors,$231,$330,-,WOMEN Y-3
28,Y-3 Hicho,https://www.adidas.com/us/y-3-hicho/IE9542.html,4 colors,$231,$330,-,WOMEN Y-3
29,adidas by Stella McCartney Slides,https://www.adidas.com/us/adidas-by-stella-mccartney-slides/IF3249.html,2 colors,$35,$70,-,Women's adidas by Stella McCartney
30,The Velosamba Vegan Cycling Shoes,https://www.adidas.com/us/the-velosamba-vegan-cycling-shoes/HQ6710.html,7 colors,$98,$130,-,WOMEN Cycling
31,Adilette Shower Slides,https://www.adidas.com/us/adilette-shower-slides/GZ5925.html,4 colors,$21,$30,-,WOMEN Yoga
32,Retropy E5 Shoes,https://www.adidas.com/us/retropy-e5-shoes/IE7064.html,12 colors,$115,$135,-,Women's Originals
33,Vulc Raid3r Skateboarding Shoes,https://www.adidas.com/us/vulc-raid3r-skateboarding-shoes/GX0872.html,3 colors,$48,$60,-,Women's Essentials
34,Top Sala Competition Indoor Soccer Shoes,https://www.adidas.com/us/top-sala-competition-indoor-soccer-shoes/FZ6123.html,"3 colors, Indoor",$48,$80,-,WOMEN Futsal
35,Pureboost 22 Running Shoes,https://www.adidas.com/us/pureboost-22-running-shoes/HQ8578.html,5 colors,$112,$140,-,Women's Running
36,Znsored HI Shoes,https://www.adidas.com/us/znsored-hi-shoes/GZ2293.html,5 colors,$63,$90,-,WOMEN Sportswear
37,Adifom SLTN Shoes,https://www.adidas.com/us/adifom-sltn-shoes/GZ9661.html,5 colors,$70,$100,-,Women's Originals
38,X Crazyfast Injection.3 Turf Soccer Shoes,https://www.adidas.com/us/x-crazyfast-injection.3-turf-soccer-shoes/IG0767.html,Turf,$86,$95,-,WOMEN Soccer
39,Stan Smith Shoes,https://www.adidas.com/us/stan-smith-shoes/HQ9930.html,22 colors,$81,$115,-,WOMEN Originals
