,product_code,n_reviews,quality,star_rating,size,comfort
1070,IF3899,161,90.6832,4.6,51.5528,87.7329
1071,HQ1494,260,90.3846,4.8,50.4808,82.0192
1072,HP5972,197,82.1066,4.4,56.8528,76.5228
1073,IE4523,42,88.6905,4.3,54.7619,75.5952
1074,HP5970,197,82.1066,4.4,56.8528,76.5228
1075,GW9086,845,84.4787,4.5,45.4088,79.4135
1076,IG5892,296,93.6655,4.8,51.3514,90.5405
1077,IG7963,1929,89.3209,4.7,49.5853,86.1327
1078,ID7494,,,,,
1079,HP7631,110,86.1364,4.5,50,86.3636
1080,ID0354,200,91,4.7,47.5,85.25
1081,HQ8775,214,89.6028,4.7,50.3505,84.9299
1082,IF5004,82,84.4512,4.4,52.439,76.2195
1083,GX2022,9,97.2222,4.6,58.3333,94.4444
1084,IF5282,548,89.6442,4.7,48.8139,88.0018
1085,IG5878,296,93.6655,4.8,51.3514,90.5405
1086,IG5890,296,93.6655,4.8,51.3514,90.5405
1087,IE9916,1,100,4.0,100,100
1088,HP5974,197,82.1066,4.4,56.8528,76.5228
1089,IE2027,88,80.9659,4.3,50.2841,73.0114
1090,GZ4659,14,89.2857,4.1,42.8571,83.9286
1091,IF9933,1027,87.7313,4.6,48.1743,86.9279
1092,IG5880,296,93.6655,4.8,51.3514,90.5405
1093,IG5887,296,93.6655,4.8,51.3514,90.5405
1094,HQ1402,1929,89.3209,4.7,49.5853,86.1327
1095,HQ1346,107,87.3832,4.5,47.8972,80.6075
1096,GZ1998,1347,87.899,4.6,53.829,82.8996
1097,FW2832,56,91.0714,4.6,48.6607,82.5893
1098,GX5420,13,86.5385,4.5,48.0769,86.5385
1099,IG5888,296,93.6655,4.8,51.3514,90.5405
1100,IG0804,30,91.6667,4.8,57.5,80.8333
1101,IE7636,85,88.8235,4.6,49.1176,84.1176
1102,ID9559,197,82.1066,4.4,56.8528,76.5228
1103,HP9743,1349,87.8984,4.6,53.8048,82.8879
1104,HQ5878,2057,90.1799,4.7,50.073,87.3906
1105,HQ5867,2057,90.1799,4.7,50.073,87.3906
1106,IF8067,162,92.5926,4.8,53.858,81.9444
1107,IG5253,2710,88.6034,4.6,47.0937,80.1811
1108,HP5971,197,82.1066,4.4,56.8528,76.5228
1109,FZ5815,7,85.7143,4.4,64.2857,78.5714
1110,GX2088,1178,82.6401,4.4,51.2521,76.528
1111,HP5971,197,82.1066,4.4,56.8528,76.5228
1112,FZ5815,7,85.7143,4.4,64.2857,78.5714
