,ShoeName,URL,price_reduce,price,price_,Category
31,Grey slip-on shoes for women,/productinfo/FLC0310T9032A-GREY,1200,4495,₹4495₹1200,Women
32,Grey Sneaker for women,/productinfo/FLC0H40S7602A-GREY,3597,5995,₹5995₹3597,Women
33,Woodland Rust Brown high ankle sneakers,/productinfo/FLC0AR028921A-RUST_BROWN,3297,5495,₹5495₹3297,Women
34,Woodland Black casual sneakers,/productinfo/FLC0H9025631B-BLACK,2000,4495,₹4495₹2000,Women
35,Blue Sports Sneaker for Women,/productinfo/FLC0150S0142A-BLUE,3897,6495,₹6495₹3897,Women
36,Blue sneaker for women,/productinfo/FLC0180T0952A-BLUE,3897,6495,₹6495₹3897,Women
37,WHITE Leather shoes,/productinfo/FLC0310V3382A-WHITE,4797,7995,₹7995₹4797,Women
38,blue casual sneakers for women,/productinfo/FLC0BA025011A-BLUE,2000,4495,₹4495₹2000,Women
39,Woods BLACK casual sneakers,/productinfo/FLC0H40U6372A-BLACK,4497,7495,₹7495₹4497,Women
40,Pink chunky sole sneaker for women,/productinfo/FLC0H40T0772A-PINK,3897,6495,₹6495₹3897,Women
41,White and red casual sneaker,/productinfo/FLC0180U6602A-WHITE_RED,4797,7995,₹7995₹4797,Women
42,Blue Sneaker for women,/productinfo/FLC0H40S7592A-BLUE,3597,5995,₹5995₹3597,Women
43,Purple chunky sole sneaker for women,/productinfo/FLC0H40T0782A-PURPLE,3897,6495,₹6495₹3897,Women
44,LPINK high ankle sneakers for women,/productinfo/FLC0510T0802A-LPINK,3897,6495,₹6495₹3897,Women
45,Woodland black casual sneakers,/productinfo/FLC0AI025371B-BLACK,2000,4495,₹4495₹2000,Women
46,Beige casual sneaker,/productinfo/FLC0R9025031A-BEIGE,2447,4895,₹4895₹2447,Women
47,Pink sneakers for women,/productinfo/FLC0DY0T7822A-PINK,3497,6995,₹6995₹3497,Women
48,Rust canvas sneaker for women,/productinfo/FLC0310T9042A-RUST,1600,4495,₹4495₹1600,Women
49,Navy casual sneaker with sequins,/productinfo/FLC0260U2622A-NAVY,2000,6495,₹6495₹2000,Women
50,Pink sock-style high top sneakers,/productinfo/FLC0H40T0762A-PINK,3297,5495,₹5495₹3297,Women
51,LGREY slip on sneaker,/productinfo/FLC0H40U3342A-LGREY,4197,6995,₹6995₹4197,Women
52,Woods BLACK high wedge heel,/productinfo/FLC0R70U3282A-BLACK,4497,7495,₹7495₹4497,Women
53,Orange casual sneaker,/productinfo/FLC051017981A-ORANGE,1000,3995,₹3995₹1000,Women
54,Pink sneaker for women,/productinfo/FLC0510T0572A-PINK,5997,9995,₹9995₹5997,Women
55,Woodland lpink casual sneakers for women,/productinfo/FLC0AI024471A-LPINK,2000,4995,₹4995₹2000,Women
56,Light brown high-top sneaker for Women,/productinfo/FLC0510T7112A-LBROWN,8397,13995,₹13995₹8397,Women
57,Grey slip-on sneaker,/productinfo/FLC0H40U3332A-GREY,4197,6995,₹6995₹4197,Women
58,Red casual sneakers,/productinfo/FLC0260U2552A-RED,1500,5995,₹5995₹1500,Women
59,Woods black sneakers for women,/productinfo/FLC0BA025051A-BLACK,2497,4995,₹4995₹2497,Women
60,LBLUE high ankle sneakers for women,/productinfo/FLC0510T0792A-LBLUE,3897,6495,₹6495₹3897,Women
61,ORANGE casual sneakers for women,/productinfo/FLC0Z3022441A-ORANGE,1200,4495,₹4495₹1200,Women
62,Woodland Black casual sneakers,/productinfo/FLC0Z3028911A-BLACK,2000,4995,₹4995₹2000,Women
63,Woods RED casual sneakers,/productinfo/FLC0260V3482A-RED,5397,8995,₹8995₹5397,Women
64,Graffiti/White sneakers for women,/productinfo/FLC0180U6582A-GRAFFITI_WHITE,2000,7495,₹7495₹2000,Women
65,Grey casual sneakers for women,/productinfo/FLC0260U2592A-GREY,1500,4495,₹4495₹1500,Women
66,BLACK sneakers for women,/productinfo/FLC0G2025001A-BLACK,2000,4495,₹4495₹2000,Women
67,Purple sock-style high top sneakers,/productinfo/FLC0H40T0752A-PURPLE,3297,5495,₹5495₹3297,Women
68,Navy sneaker for women,/productinfo/FLC0180T0962A-NAVY,3597,5995,₹5995₹3597,Women
69,Off-white chunky sole sneaker,/productinfo/FLC0B3024821B-OWHITE,2000,4295,₹4295₹2000,Women
70,Woods WHITE casual sneakers,/productinfo/FLC0180V3482A-WHITE,5397,8995,₹8995₹5397,Women
71,White high-top sneaker for women,/productinfo/FLC0Z3022431A-WHITE,1500,4495,₹4495₹1500,Women
72,Black Slip-on Shoe for Men,/productinfo/FGC026041122A-BLACK,1571,2095,₹2095₹1571,Men
73,Navy Slip-on Shoe for Men,/productinfo/FGC0Y9039132A-NAVY,2246,2995,₹2995₹2246,Men
74,Camel Sneakers for Men,/productinfo/FGC0Z7044742A-WHITE,1871,2495,₹2495₹1871,Men
75,Navy Sports Shoe for Men,/productinfo/FGC0Z7041612A-NAVY,1871,2495,₹2495₹1871,Men
76,Black Sneaker for Men,/productinfo/FGC0Z7044752A-BLACK,2495,2495,₹2495,Men
77,Black/Lgrey Slip Shoe for Men,/productinfo/FGC0Y9040822A-BLACK_LGREY,1606,2295,₹2295₹1606,Men
78,Grey slip-on shoe for men,/productinfo/FGC0Z7041642A-GREY,1496,1995,₹1995₹1496,Men
79,Snaype casual sneaker for men,/productinfo/FGC0L4033001A-SNAYPE,2397,3995,₹3995₹2397,Men
80,Teal Sneaker for men,/productinfo/FGC026041142A-TEAL,1536,2195,₹2195₹1536,Men
81,Dgrey Slip-on Shoe for Men,/productinfo/FGC0Y9039142A-DGREY,2096,2795,₹2795₹2096,Men
82,Navy sneakers for Men,/productinfo/FGC0Z7040072A-NAVY,2096,2795,₹2795₹2096,Men
83,Woodland Red sneakers,/productinfo/FGC0C8012921B-RED,2217,3695,₹3695₹2217,Men
84,Grey Slip-on Shoe for Men,/productinfo/FGC0Y9041192A-GREY,1871,2495,₹2495₹1871,Men
85,White/Blue Sports Shoes for Men,/productinfo/FGC0DN0AR892A-WHITE_BLUE,7495,7495,₹7495,Men
86,Lgrey/Orange Sports Shoes for Men,/productinfo/FGC0DY0AR872A-LGREY_ORANGE,7495,7495,₹7495,Men
87,Black Fabric Luxury Sports Shoes,/productinfo/FGC0H40S9622A-BLACK,4497,7495,₹7495₹4497,Men
88,Black Sports Shoes for Men,/productinfo/FGC0DN0AR922A-BLACK,7495,7495,₹7495,Men
89,White/Black Sports Shoe for Men,/productinfo/FGC0DN0AR882A-WHITE_BLACK,7495,7495,₹7495,Men
90,Blue sneakers for men,/productinfo/FGC0H40S7552A-BLUE,3897,6495,₹6495₹3897,Men
91,White Fabric Luxury Sports Shoes,/productinfo/FGC0H40S9632A-WHITE,4497,7495,₹7495₹4497,Men
92,Black/Red Sneaker for Men,/productinfo/FGC0Y9040932A-BLACK_RED,2096,2795,₹2795₹2096,Men
93,Black Slip-on Sneaker,/productinfo/FGC0H40S7562A-BLACK,3597,5995,₹5995₹3597,Men
94,Beige Fabric Luxury Sports Shoes,/productinfo/FGC0H40S9642A-BEIGE,4497,7495,₹7495₹4497,Men
95,RB Brown Sneakers for men,/productinfo/FGC0Z3024211C-RB_BROWN,3497,6995,₹6995₹3497,Men
96,Beige Sneaker for men,/productinfo/FGC0510R2012A-BEIGE,5097,8495,₹8495₹5097,Men
97,White Sports Shoes for Men,/productinfo/FGC0DN0AR912A-WHITE,6995,6995,₹6995,Men
98,White Sports Shoe for Men,/productinfo/FGC0510R2022A-WHITE,5097,8495,₹8495₹5097,Men
99,Navy chunky sole sneakers,/productinfo/FGC0BB033761A-NAVY,3897,6495,₹6495₹3897,Men
100,Blue Slip on shoes,/productinfo/FGC0H40S7542A-BLUE,3597,5995,₹5995₹3597,Men
101,Black Sneaker for men,/productinfo/FGC0H40S7572A-BLACK,4797,7995,₹7995₹4797,Men
102,Grey Sneaker for men,/productinfo/FGC0510R2032A-GREY,4797,7995,₹7995₹4797,Men
103,Black/Grey Sports Shoe for men,/productinfo/FGC0EM0S0152A-BLACK_LGREY,4797,7995,₹7995₹4797,Men
104,Olive casual sneaker,/productinfo/FGC0H40T3262A-OLIVE,2000,4995,₹4995₹2000,Men
105,Black/Grey casual sneaker for men,/productinfo/FGC0180T8762A-BLACK_GREY,5397,8995,₹8995₹5397,Men
106,Black Sneakers for Men,/productinfo/FGC0510R1992A-BLACK,4797,7995,₹7995₹4797,Men
107,Blue/White casual sneaker for men,/productinfo/FGC0180T8752A-BLUE_WHITE,5397,8995,₹8995₹5397,Men
108,Woodland DOVE WHITE sneakers,/productinfo/FGC0B3025091A-DOVE_WHITE,3147,6295,₹6295₹3147,Men
109,dark grey casual sneaker for men,/productinfo/FGC051028671A-DGREY,2747,5495,₹5495₹2747,Men
110,Navy Sports Sneaker for men,/productinfo/FGC0510S0112A-NAVY,4797,7995,₹7995₹4797,Men
111,Woodland NAVY sneakers,/productinfo/FGC0V2025091A-NAVY,3147,6295,₹6295₹3147,Men
