,product_code,count_of_sizes,colors
247,379601_03,13,"['PUMA Black-Stormy Slate-For All Time Red', 'For All Time Red-PUMA Black-Gray Fog', 'Club Navy-PUMA Black-Electric Lime']"
248,376807_01,13,"['Puma Black', 'PUMA Black-Ocean Tropic-Lime Pow', 'Lime Pow-PUMA Black-PUMA White']"
249,387272_05,18,"['Ash Gray-For All Time Red-PUMA Black', 'Myrtle-Myrtle-PUMA Black']"
250,396403_01,16,"['PUMA Black-Warm White-Gum', 'Speed Blue-Lime Pow-Gum', 'Lavender Alert-Burnt Red-Gum']"
251,366408_01,17,"['Puma White-Puma Team Gold', 'Puma Black-Puma Team Gold']"
252,392787_07,17,"['Alpine Snow-Alpine Snow', 'PUMA Black-PUMA Black']"
253,379223_01,12,['Metallic Gold-Fiery Coral']
254,395542_01,13,['For All Time Red-Dark Orange-PUMA Black']
255,307936_02,19,"['PUMA Black-PUMA White-Dark Coal', 'Reflex Blue C-PUMA White-Sedate Gray']"
256,374923_02,19,"['Puma White-Puma White', 'Puma White-Puma Black', 'Puma Black-Puma Black']"
257,374923_01,19,"['Puma White-Puma White', 'Puma White-Puma Black', 'Puma Black-Puma Black']"
258,392787_04,11,"['Alpine Snow-Alpine Snow', 'PUMA Black-PUMA Black']"
259,374915_03,14,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']"
260,379330_01,0,['Poison Pink-Fluro Orange Pes: out of stock']
261,381174_01,13,"['Puma Black-Gum', 'Pebble-Gum']"
262,374915_89,15,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']"
263,380190_01,13,"['Puma White', 'Puma Black']"
264,381174_02,16,"['Puma Black-Gum', 'Pebble-Gum']"
265,387272_04,18,"['Ash Gray-For All Time Red-PUMA Black', 'Myrtle-Myrtle-PUMA Black']"
266,394873_01,17,['Warm White-Warm White']
267,393152_01,13,"['Inky Blue-Persian Blue', 'Cast Iron-PUMA Black']"
268,392718_01,13,"['PUMA Black-Shadow Gray', 'PUMA White-Alpine Snow']"
269,393260_01,13,['Pumpkin Pie-Amber']
270,378453_01,13,['PUMA Black-PUMA Silver-Yellow Blaze']
271,387286_01,13,['Puma White-Puma White']
272,374923_03,19,"['Puma White-Puma White', 'Puma White-Puma Black', 'Puma Black-Puma Black']"
273,307936_01,18,"['PUMA Black-PUMA White-Dark Coal', 'Reflex Blue C-PUMA White-Sedate Gray']"
274,379601_02,13,"['PUMA Black-Stormy Slate-For All Time Red', 'For All Time Red-PUMA Black-Gray Fog', 'Club Navy-PUMA Black-Electric Lime']"
275,376151_19,13,"['Puma Black-Harbor Mist-Cherry Tomato', 'Cherry Tomato-Puma Black', 'Puma Black-CASTLEROCK', 'PUMA Black-Cayenne-Wood Violet', 'PUMA White-Platinum Gray-Dark Night', 'PUMA Black-Gray Tile-Fast Yellow', 'PUMA Black', 'Myrtle-PUMA Black-Yellow Burst']"
276,307211_07,18,['Sand Dune-Bold Blue-PUMA White']
277,307997_01,10,['Rosso Corsa-PUMA Black']
278,376941_12,11,"['Puma White-Silver', 'PUMA Black-PUMA Black']"
279,366408_02,18,"['Puma White-Puma Team Gold', 'Puma Black-Puma Team Gold']"
280,397418_01,15,['PUMA White-PUMA Navy-PUMA Silver']
281,376151_04,13,"['Puma Black-Harbor Mist-Cherry Tomato', 'Cherry Tomato-Puma Black', 'Puma Black-CASTLEROCK', 'PUMA Black-Cayenne-Wood Violet', 'PUMA White-Platinum Gray-Dark Night', 'PUMA Black-Gray Tile-Fast Yellow', 'PUMA Black', 'Myrtle-PUMA Black-Yellow Burst']"
282,307999_01,19,['PUMA White-PUMA Black']
283,307648_04,15,['PUMA Black-Dusty Green-Neon Sun']
284,386759_01,18,"['Puma White-Puma Team Gold', 'Puma White-Puma Black', 'Puma Black-Puma White', 'PUMA White-Malachite']"
285,364669_02,13,"['Puma White-Puma Black-Puma Team Gold', 'Puma White-Puma New Navy-Puma Team Gold']"
286,393747_01,17,"['Alpine Snow-Warm White', 'Icy Blue-Warm White']"
