,ShoeName,URL,no_colors,price_reduce,price,Category,Brand,product_code
151,Nike Internationalist By You,https://www.nike.com/u/custom-nike-internationalist-by-you-10001560/6514916251,7,110.0,110,Women,Nike,CW7637-991
152,Nike Air Max Thea,https://www.nike.com/t/air-max-thea-womens-shoes-b7gZlp/FJ9302-104,1,72.97,120,Women,Nike,FJ9302-104
153,Converse x TURBODRK Chuck 70 Laceless,https://www.nike.com/t/converse-x-turbodrk-chuck-70-laceless-unisex-shoes-6CmpRH/A03938C-206,1,170.0,170,Women,Nike,A03938C-206
154,Nike Go FlyEase,https://www.nike.com/t/go-flyease-easy-on-off-shoes-LGmqKx/DR5540-102,2,125.0,125,Women,Nike,DR5540-102
155,Nike Air Huarache By You,https://www.nike.com/u/custom-huarache-run-by-you-10001374/4041883818,7,130.0,130,Women,Nike,FD9782-900
156,Nike Air Max Bella TR 5,https://www.nike.com/t/air-max-bella-tr-5-womens-workout-shoes-tLCg4B/DD9285-400,7,90.0,90,Women,Nike,DD9285-400
157,Nike Air Force 1 '07 LX,https://www.nike.com/t/air-force-1-07-lx-womens-shoes-58VkQV/DO9456-100,11,72.97,120,Women,Nike,DO9456-100
158,KD Trey 5 IX,https://www.nike.com/t/kd-trey-5-ix-basketball-shoes-1HJf9Q/CW3400-001,1,95.0,95,Women,Nike,CW3400-001
159,Nike Blazer Mid Premium,https://www.nike.com/t/blazer-mid-premium-womens-shoes-lgMh8j/DQ7572-200,4,87.97,125,Women,Nike,DQ7572-200
160,Nike Air Force 1 '07,https://www.nike.com/t/air-force-1-07-womens-shoes-5RMcfN/FQ8887-100,1,106.97,125,Women,Nike,FQ8887-100
161,Nike G.T. Hustle 2,https://www.nike.com/t/gt-hustle-2-mens-basketball-shoes-8FSgBX/DJ9405-302,5,127.97,170,Women,Nike,DJ9405-302
162,Nike Blazer Low '77 By You,https://www.nike.com/u/custom-nike-blazer-low-77-by-you-10001281/9693201788,6,115.0,115,Women,Nike,DZ2653-900
163,Nike Air Presto,https://www.nike.com/t/air-presto-womens-shoes-LMdjZP/DV2228-300,2,99.97,130,Women,Nike,DV2228-300
164,Nike Icon Classic,https://www.nike.com/t/icon-classic-womens-sandals-c4bCfN/DH0224-200,3,55.97,65,Women,Nike,DH0224-200
165,Nike Metcon 8,https://www.nike.com/t/metcon-8-womens-workout-shoes-Hzmjkl/DO9327-102,4,110.97,130,Women,Nike,DO9327-102
166,Nike Offcourt,https://www.nike.com/t/offcourt-womens-slides-N330Vh/BQ4632-002,1,34.97,40,Women,Nike,BQ4632-002
167,Nike Pegasus 40 By You,https://www.nike.com/u/custom-pegasus-40-by-you-10001527/5274935308,14,160.0,160,Women,Nike,FB2383-900
168,Nike Air Huarache Craft By You,https://www.nike.com/u/nike-air-huarache-craft-by-you-10001528/9756639660,6,160.0,160,Women,Nike,FB2391-900
169,NikeCourt Air Zoom Pro,https://www.nike.com/t/nikecourt-air-zoom-pro-womens-hard-court-tennis-shoes-h9NGq9/DV3285-300,5,85.97,100,Women,Nike,DV3285-300
170,Nike Tanjun,https://www.nike.com/t/tanjun-womens-shoes-lj1St1/DJ6257-004,3,59.97,70,Women,Nike,DJ6257-004
171,Run Star Hike Platform,https://www.nike.com/t/run-star-hike-platform-unisex-shoes-Pt8mNb/168817C-102,2,105.0,105,Women,Nike,168817C-102
172,Nike Victori One,https://www.nike.com/t/victori-one-womens-slides-dLThzx/CN9677-002,11,29.97,35,Women,Nike,CN9677-002
