,product_code,n_reviews,quality,star_rating,Size,comfort
343,DX5883-100,119.0,49.85,4.6,59.0,83.0
344,749867-105,25.0,52.67,4.9,50.0,100.0
345,DV7415-600,67.0,43.82,4.6,45.0,79.0
346,560250F-001,39.0,,4.6,,
347,DM0886-100,3.0,61.11,3,50.0,100.0
348,DH5359-100,15.0,75.0,4.8,50.0,100.0
349,CZ2959-402,121.0,43.32,4.8,46.0,79.0
350,HF0004-900,,,,,
351,FB2392-900,,,,,
352,DA8570-600,167.0,48.6,4.5,48.0,93.0
353,DZ3621-900,,,,,
354,DC8725-101,23.0,51.45,4.9,50.0,100.0
355,FB2390-900,,,,,
356,FB9019-700,15.0,,5,,
357,AO0808-002,12.0,54.0,4.4,28.0,80.0
358,DV3809-100,8.0,71.5,4.6,59.0,84.0
359,HF0004-900,,,,,
360,DC9093-001,74.0,48.45,4.7,52.0,92.0
361,DV2019-101,27.0,40.57,4.3,34.0,84.0
362,DZ7533-002,57.0,53.38,4.5,29.0,75.0
363,FB2269-103,3.0,72.33,4.7,50.0,67.0
364,DV2220-100,0.0,,0,,
365,FQ7223-905,,,,,
366,FD8357-100,0.0,,0,,
367,DV0496-006,25.0,,4.7,,
368,DH7505-101,110.0,40.24,4.6,45.0,73.0
369,DR2741-100,8.0,37.5,5,50.0,50.0
370,M9697-410,7.0,75.0,4.9,75.0,75.0
371,CI2955-160,11.0,52.12,4,40.0,80.0
372,FV6149-001,0.0,,0,,
373,FN0569-900,,,,,
374,FV1894-800,0.0,,0,,
375,FN0564-001,0.0,,0,,
376,325256-401,30.0,51.11,4.8,50.0,100.0
377,864349-204,55.0,48.18,4.6,46.0,84.0
378,,,,,,
379,DZ3356-500,49.0,69.03,4.7,52.0,100.0
380,685135-004,22.0,75.0,4.5,50.0,100.0
381,FJ4036-900,,,,,
382,394053-101,0.0,,0,,
383,DJ6149-400,135.0,48.99,4.8,53.0,91.0
384,DR2948-600,67.0,46.49,4.6,54.0,81.0
385,FJ8901-900,,,,,
386,FB9894-100,6.0,64.11,4.5,34.0,75.0
387,DC0774-102,411.0,,4.8,,
388,537345-001,18.0,39.89,4.4,20.0,83.0
389,AJ8119-002,6.0,62.5,3.7,50.0,75.0
390,FQ9395-600,1.0,83.33,5,50.0,100.0
391,BQ4153-100,291.0,45.71,4.7,38.0,95.0
392,FV6147-001,0.0,,0,,
393,FN7481-100,9.0,67.56,4.3,43.0,93.0
394,DQ8992-001,5.0,65.33,4.4,88.0,88.0
395,FD8701-001,2.0,58.33,4,25.0,50.0
396,FJ9822-601,,,,,
397,DZ5217-100,3.0,34.0,2.7,,34.0
398,DM3493-002,150.0,69.5,4.8,52.0,87.0
399,,,,,,
400,DC8794-002,114.0,47.29,4.6,49.0,92.0
401,685134-400,13.0,50.0,4.3,,50.0
402,DN1772-108,214.0,41.96,4.8,35.0,89.0
403,FN4182-001,1.0,83.33,5,50.0,100.0
404,FJ8890-900,,,,,
405,DV2185-100,2.0,87.5,5,75.0,100.0
406,CW4439-011,30.0,100.0,4.6,100.0,100.0
407,DO7433-900,,,,,
408,DQ7605-200,17.0,25.5,4.1,34.0,17.0
409,FB7065-600,0.0,,0,,
410,DJ7552-009,8.0,54.17,5,50.0,100.0
411,FD0794-700,18.0,40.7,3.6,14.0,47.0
412,DX4260-100,3.0,,5,,
413,,,,,,
414,DJ4487-121,8.0,20.83,3.8,25.0,25.0
415,DQ5012-133,9.0,52.07,5,34.0,100.0
416,FJ6035-600,5.0,63.33,4.2,40.0,70.0
417,CD5436-100,70.0,,4.7,,
418,DJ4473-170,1.0,,5,,
419,DZ2832-200,3.0,75.5,4.7,67.0,84.0
420,CU1724-960,,,,,
421,DJ4702-002,12.0,63.89,5,50.0,100.0
422,DZ1725-300,1.0,83.33,4,50.0,100.0
423,DX6779-100,2.0,,2,,
424,FQ9008-800,4.0,55.67,4,50.0,67.0
425,FD5113-400,5.0,66.67,4.2,50.0,70.0
426,DC8892-001,47.0,51.04,4.4,54.0,97.0
427,DV7896-600,81.0,38.16,4.2,40.0,72.0
428,DA7698-004,267.0,49.0,4.6,49.0,92.0
429,,,,,,
430,DH0222-101,20.0,63.5,4.3,50.0,77.0
431,DR9842-400,4.0,58.5,4,50.0,67.0
432,FN0569-900,,,,,
433,DZ5648-100,21.0,21.43,3.9,20.0,30.0
434,DX7992-700,16.0,57.42,4.9,57.0,84.0
435,CW9705-200,143.0,51.33,4.9,47.0,100.0
436,BQ3378-100,4.0,,4.5,,
437,DH1270-100,85.0,,4.6,,
438,,,,,,
439,FB9893-300,7.0,68.48,4.1,50.0,84.0
440,DV3907-900,,,,,
441,DZ2616-800,61.0,59.94,4.3,50.0,79.0
442,,,,,,
443,FB2390-900,,,,,
444,DZ3544-200,21.0,77.33,4.5,48.0,84.0
445,FV6148-001,0.0,,0,,
