,ShoeName,URL,no_colors,price_reduce,price,Category,Brand,product_code
629,ZNSORED Shoes,https://www.adidas.com/us/znsored-shoes/HP5985.html,3,60,80,WOMEN Sportswear,Adidas,HP5985
630,Court Team Bounce 2.0 Shoes,https://www.adidas.com/us/court-team-bounce-2.0-shoes/HP3342.html,2,34,85,Women's Training,Adidas,HP3342
631,Bounce Legends Basketball Shoes,https://www.adidas.com/us/bounce-legends-basketball-shoes/IE9277.html,4,64,85,WOMEN Basketball,Adidas,IE9277
632,Forum Bold Shoes,https://www.adidas.com/us/forum-bold-shoes/GY5921.html,2,88,110,Women's Originals,Adidas,GY5921
633,TERREX Trail Rider Trail Running Shoes,https://www.adidas.com/us/terrex-trail-rider-trail-running-shoes/HR1182.html,4,60,120,Women's TERREX,Adidas,HR1182
634,Mahomes 1 Black Panther Impact FLX Shoes,https://www.adidas.com/us/mahomes-1-black-panther-impact-flx-shoes/GX9654.html,6,98,140,WOMEN Football,Adidas,GX9654
635,Ultraboost Made to Be Remade 2.0 Running Shoes,https://www.adidas.com/us/ultraboost-made-to-be-remade-2.0-running-shoes/GX9634.html,,105,210,Women's Running,Adidas,GX9634
636,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IE1745.html,4,76,190,Women's Running,Adidas,IE1745
637,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IE3063.html,4,67,190,Women's Running,Adidas,IE3063
638,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/HQ8605.html,50,60,150,Women's Originals,Adidas,HQ8605
639,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/HQ4248.html,50,64,160,Women's Originals,Adidas,HQ4248
640,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/GW9783.html,23,60,100,Women's Originals,Adidas,GW9783
641,Ultraboost 1.0 Miami,https://www.adidas.com/us/ultraboost-1.0-miami/HQ5884.html,39,80,200,WOMEN Sportswear,Adidas,HQ5884
