,count_of_sizes,color_1,color_2,color_3,color_4,other_color,product_code
556,12,Black,,White,,,FJ2708-001
557,13,Black,,White,Red,,CW2386-603
558,2,,,White,,,FN6838-012
559,1,Black,,,,pink,FJ2985-001
560,15,Black,,,Red,,FV4145-001
561,5,Black,,White,,,DA1349-004
562,0,,,,,,
563,0,,,,,,
564,15,Black,,White,,,DV2024-001
565,3,,,,,purple,DR9922-700
566,20,Black,,White,Red,,FD0731-001
567,16,Black,Blue,White,,grey,DQ0660-130
568,18,Black,,White,,pink,FD1157-600
569,18,Black,,White,,,DJ5630-600
570,1,Black,Blue,White,,grey,DJ5593-041
571,11,Black,,White,,grey,DX0024-100
572,22,Black,,White,,gold,FJ0850-001
573,22,Black,,White,Red,grey,DM0103-003
574,22,Black,Blue,White,Red,brown,DV1403-002
575,13,Black,Blue,White,,,DJ5590-103
576,1,Black,Blue,White,,grey,DD9315-108
577,22,Black,Blue,White,,grey,DV1202-601
578,16,,,White,,,FD6815-001
579,3,,,,,gold,DV6801-701
580,22,Black,Blue,White,Red,khaki,DV1376-101
581,15,,Blue,White,Red,,DH4120-101
582,13,Black,,White,,,FB3124-100
583,4,Black,Blue,White,,grey,DC5221-041
584,23,Black,,White,,grey,FD6853-001
585,2,,,White,,,DV1407-100
586,1,Black,,White,,grey,DM8449-001
587,1,Black,,White,Red,grey,CU9978-101
588,6,,Blue,White,,purple,DQ4128-155
589,14,Black,,White,,grey,DV6800-110
590,10,,,White,,,FD6848-001
591,3,Black,,White,Red,,DC9968-705
592,1,Black,Blue,White,,grey,DJ4978-605
593,8,Black,,White,Red,,DD9465-600
594,19,,,,,,FN6746-904
595,10,Black,,White,,,DJ5167-300
596,11,Black,,White,,,FD1162-600
597,2,Black,,White,,,DZ3183-100
598,1,Black,,White,,,DJ5633-600
599,1,Black,,White,,pink,DJ5627-600
600,19,,,,,,FN6750-900
601,12,Black,,White,,,DJ5963-600
602,19,,,,,,DX5257-900
603,5,Black,,White,Red,,DD9475-705
604,14,,,,,,DX5261-902
605,11,Black,,,,,DV4336-040
606,17,,,,Red,,DX5266-902
607,11,Black,,White,Red,,DD9472-300
608,6,Black,Blue,White,,gold,AT5889-407
609,18,Black,,White,,,DV4337-300
610,8,Black,,White,Red,,DD9482-600
611,10,Black,,White,,,FN8406-300
612,13,Black,,White,,,DJ5598-040
613,5,Black,,White,Red,,DC9969-600
614,16,Black,Blue,White,,brown,DC8466-102
615,6,Black,,,,,DV4330-300
616,19,Black,,,,,DV4340-040
617,16,Black,,White,,,DJ5605-300
618,10,Black,Blue,White,,grey,580456-500
619,3,Black,,White,Red,,DD9473-705
620,19,Black,Blue,White,Red,grey,DD9463-300
621,16,Black,,White,,,DD9477-300
622,19,,,,,,DX5260-900
623,2,Black,,White,,,DJ5961-600
624,19,,,,,,FN6753-900
625,19,Black,,,,,DJ5165-040
626,23,,,,,,FJ4831-900
627,5,Black,Blue,White,,grey,CZ9890-007
628,1,Black,,White,,pink,DJ5629-605
629,0,Black,,,,,DJ5969-040
630,2,Black,,White,Red,,DD9441-040
631,18,Black,,White,,pink,FD1164-600
632,0,Black,,White,,,FN8405-300
633,19,,,,,,FN6749-906
634,14,Black,,White,,,DJ5603-300
635,19,Black,,White,,,AT6178-010
636,19,Black,,White,,,DD9469-300
637,13,Black,,White,,,DJ5631-300
638,18,Black,,White,,,DV4333-040
639,1,Black,,,,,DJ5962-040
640,8,Black,,White,,,DJ5165-300
641,13,Black,Blue,White,,brown,CT0550-700
642,8,Black,,White,,,DJ5622-300
643,1,Black,,White,,,DV4342-100
644,19,Black,,,,,DV4344-040
645,1,Black,,White,,pink,DJ5635-605
646,19,Black,,,,,DD9483-040
647,13,Black,,White,,,DD9476-040
648,1,,,White,,,DA1174-705
649,4,Black,Blue,White,,grey,CZ8482-054
650,13,Black,,White,,,DV4341-100
651,19,Black,,White,Red,,DH9638-600
652,4,Black,,White,,,DD1391-100
653,13,,Blue,White,,grey,FQ8826-100
654,19,Black,Blue,White,,,DZ5485-042
655,21,Black,,White,,grey,DX5800-100
656,17,Black,Blue,,,grey,BV1358-003
657,26,Black,Blue,White,,grey,FQ3381-600
658,15,Black,Blue,White,Red,grey,FV3633-081
659,16,,,,Red,brown,FB8892-200
660,17,Black,Blue,White,Red,brown,FB8883-200
661,17,Black,,White,,gold,FJ6196-001
662,23,Black,Blue,White,Red,gold,DZ3356-001
663,21,Black,,White,Red,grey,DV2917-500
664,5,Black,Blue,White,Red,grey,DR5752-100
665,20,,,White,,,414571-171
666,11,Black,,White,,,FD1334-001
667,12,Black,Blue,White,,grey,CT8532-080
668,7,Black,,,,olive,FB9927-200
669,9,,,,Red,,FV8106-361
670,9,,,,,green,FQ8823-236
671,15,,,,,green,FQ8824-236
672,13,,,,,brown,DZ2538-300
