,ShoeName,Category,no_colors,price_reduce,price,product_code
172,Nike Victori One,Women,11.0,29.97,35.0,CN9677-002
173,Sabrina 1 By You,Women,6.0,160.0,160.0,FJ4036-900
174,Nike ACG Moc,Women,2.0,90.0,90.0,DZ3407-800
175,KD Trey 5 X,Women,5.0,59.97,95.0,DD9538-012
176,Nike Air More Uptempo x Serena Williams Design Crew,Women,1.0,99.97,180.0,DX4219-400
177,Nike Pegasus Trail 4 GORE-TEX By You,Women,8.0,190.0,190.0,FJ8896-900
178,Nike SB Zoom Blazer Low Pro GT,Women,3.0,85.0,85.0,DC7695-102
179,Nike Pegasus Turbo Next Nature SE,Women,12.0,90.97,150.0,FJ2975-001
180,Cosmic Unity 3,Women,10.0,170.0,170.0,DV2757-003
181,Nike Waffle One,Women,6.0,85.97,100.0,DC2533-600
182,Nike Hyperdiamond 4 Keystone,Women,5.0,34.97,40.0,CZ5918-012
183,Nike Air Max 97 Next Nature,Women,8.0,190.0,190.0,FN7104-010
184,Nike React Infinity 3,Women,6.0,104.97,160.0,DD3024-101
185,Nike Cortez 23 Premium,Women,2.0,110.0,110.0,FB6877-100
186,Cosmic Unity 3 (Team),Women,5.0,144.97,170.0,DZ2906-600
187,Nike Pegasus FlyEase,Women,4.0,91.97,130.0,DJ7383-800
188,"Air Jordan 2 Low ""Black Satin""",Women,1.0,150.0,150.0,FD4849-106
189,Nike Alpha Huarache Elite 4 Low,Women,10.0,95.0,95.0,DJ6521-002
190,Nike Rival Waffle 6,Women,3.0,52.97,70.0,DX7998-700
191,Nike Zoom Fly 5,Women,4.0,127.97,170.0,DM8974-004
192,Nike Dunk High Premium,Women,3.0,95.97,140.0,DX2044-201
193,Nike SB Chron 2 Canvas,Women,6.0,65.0,65.0,DM3494-105
194,Nike Court Royale 2 Mid,Women,3.0,63.97,75.0,CT1725-106
195,Nike Rival XC 6,Women,3.0,70.0,70.0,DX7999-100
196,Nike Air Max 97 By You,Women,6.0,195.0,195.0,FJ8894-900
197,Nike Air Force 1 Lover XX,Women,3.0,97.97,130.0,AO1523-500
198,Nike SB Force 58,Women,7.0,68.97,80.0,DV5477-401
199,Nike Air Max 97 By You Greatest Gift,Women,1.0,195.0,195.0,FZ0814-900
200,Air Jordan 1 High Method of Make,Women,2.0,155.0,155.0,FB9891-100
201,Nike Dunk High By You,Women,5.0,155.0,155.0,DV2272-900
202,Nike Air Force 1 Mid By You,Women,6.0,145.0,145.0,DV3903-900
203,Nike Metcon 9 By You,Women,6.0,180.0,180.0,FJ8895-900
204,Nike Air Presto By You,Women,6.0,150.0,150.0,846440-998
205,Nike Dunk High,Women,1.0,81.97,135.0,DX2314-200
206,LeBron Witness 8 x FaZe Clan,Women,5.0,93.97,110.0,FV0400-001
207,LeBron Witness 7 (Team),Women,7.0,93.97,110.0,DZ3299-002
208,Nike Blazer Mid '77 Vintage,Women,4.0,82.97,110.0,DV7006-200
209,Nike Quest 5,Women,2.0,63.97,85.0,DD9291-600
210,Run Star Hike Platform,Women,2.0,110.0,110.0,166800C-001
211,Nike Air Max Pulse,Women,4.0,112.97,150.0,FD6409-003
212,Sabrina 1 By You,Women,1.0,160.0,160.0,FJ4036-900
213,Nike Air Max INTRLK,Women,7.0,110.0,110.0,DQ2904-002
214,Nike SB Zoom Blazer Low Pro GT,Women,2.0,85.0,85.0,DC7695-100
215,Nike Inflict SE,Women,1.0,115.0,115.0,DJ4471-121
216,Nike SB Bruin High ISO,Women,1.0,62.97,90.0,DV5472-001
217,Freak 5,Women,9.0,140.0,140.0,DX4985-003
218,Nike Air Force 1 Low x Premium Goods,Women,2.0,150.0,150.0,DV2957-001
219,Nike Streakfly,Women,9.0,111.97,160.0,FN3435-148
220,Nike Air Force 1 Fontanka,Women,2.0,80.97,115.0,DR7880-001
221,Nike BRSB,Women,3.0,76.97,90.0,DH9227-101
222,Nike Cortez Unlocked By You,Women,6.0,130.0,130.0,FJ8890-905
223,Nike ACG Mountain Fly 2 Low,Women,5.0,150.0,150.0,DV7903-003
224,Nike Experience Run 11,Women,4.0,63.97,75.0,DD9283-011
225,Nike Air Max 1 '87,Women,5.0,90.97,150.0,
226,Nike Alpha Huarache 8 Pro Turf,Women,1.0,68.97,80.0,CZ6559-110
227,Nike Air Adjust Force 2023,Women,2.0,93.97,170.0,DV7409-100
228,Air Jordan 1 Elevate High SE,Women,2.0,131.97,155.0,FB9894-001
229,"Air Jordan 2 ""Mauve""",Women,1.0,175.0,175.0,DX4400-005
230,Nike Huarache 9 Varsity LAX,Women,2.0,90.0,90.0,FD0090-101
231,Nike HyperSpeed Court,Women,4.0,90.0,90.0,CI2964-610
232,Nike Dunk Low Premium,Women,1.0,125.0,125.0,
233,NikeCourt Air Zoom Vapor Pro 2,Women,6.0,97.97,130.0,DR6192-104
234,Nike Killshot 2 Leather,Women,7.0,90.0,90.0,432997-111
235,Nike SB Zoom Blazer Mid Premium Plus,Women,1.0,73.97,105.0,DV5468-300
236,Nike Winflo 9,Women,2.0,65.97,100.0,DR9831-001
237,Nike Spark,Women,3.0,85.97,135.0,DJ6945-200
238,KD15,Women,4.0,150.0,150.0,DC1975-001
239,Tatum 1 Team Bank,Women,3.0,102.97,120.0,FB2863-600
240,Nike Air Max Pre-Day SE,Women,3.0,72.97,145.0,DZ4874-300
241,Nike Savaleos,Women,1.0,125.0,125.0,CV5708-010
242,Nike Legend Essential 2 Premium,Women,1.0,65.0,65.0,CZ3668-017
