,n_reviews,size,comfort,quality,star_rating,product_code
394,5.0,88.0,88.0,65.33,4.4,DQ8992-001
395,2.0,25.0,50.0,58.33,4.0,FD8701-001
396,,,,,,FJ9822-601
397,3.0,,34.0,34.0,2.7,DZ5217-100
398,150.0,52.0,87.0,69.5,4.8,DM3493-002
399,,,,,,
400,114.0,49.0,92.0,47.29,4.6,DC8794-002
401,13.0,,50.0,50.0,4.3,685134-400
402,214.0,35.0,89.0,41.96,4.8,DN1772-108
403,1.0,50.0,100.0,83.33,5.0,FN4182-001
404,,,,,,FJ8890-900
405,2.0,75.0,100.0,87.5,5.0,DV2185-100
406,30.0,100.0,100.0,100.0,4.6,CW4439-011
407,,,,,,DO7433-900
408,17.0,34.0,17.0,25.5,4.1,DQ7605-200
409,0.0,,,,0.0,FB7065-600
410,8.0,50.0,100.0,54.17,5.0,DJ7552-009
411,18.0,14.0,47.0,40.7,3.6,FD0794-700
412,3.0,,,,5.0,DX4260-100
413,,,,,,
414,8.0,25.0,25.0,20.83,3.8,DJ4487-121
415,9.0,34.0,100.0,52.07,5.0,DQ5012-133
416,5.0,40.0,70.0,63.33,4.2,FJ6035-600
417,70.0,,,,4.7,CD5436-100
418,1.0,,,,5.0,DJ4473-170
419,3.0,67.0,84.0,75.5,4.7,DZ2832-200
420,,,,,,CU1724-960
421,12.0,50.0,100.0,63.89,5.0,DJ4702-002
422,1.0,50.0,100.0,83.33,4.0,DZ1725-300
423,2.0,,,,2.0,DX6779-100
424,4.0,50.0,67.0,55.67,4.0,FQ9008-800
425,5.0,50.0,70.0,66.67,4.2,FD5113-400
426,47.0,54.0,97.0,51.04,4.4,DC8892-001
427,81.0,40.0,72.0,38.16,4.2,DV7896-600
428,267.0,49.0,92.0,49.0,4.6,DA7698-004
429,,,,,,
430,20.0,50.0,77.0,63.5,4.3,DH0222-101
431,4.0,50.0,67.0,58.5,4.0,DR9842-400
432,,,,,,FN0569-900
433,21.0,20.0,30.0,21.43,3.9,DZ5648-100
434,16.0,57.0,84.0,57.42,4.9,DX7992-700
435,143.0,47.0,100.0,51.33,4.9,CW9705-200
436,4.0,,,,4.5,BQ3378-100
437,85.0,,,,4.6,DH1270-100
438,,,,,,
439,7.0,50.0,84.0,68.48,4.1,FB9893-300
440,,,,,,DV3907-900
441,61.0,50.0,79.0,59.94,4.3,DZ2616-800
442,,,,,,
443,,,,,,FB2390-900
444,21.0,48.0,84.0,77.33,4.5,DZ3544-200
445,0.0,,,,0.0,FV6148-001
446,49.0,53.0,84.0,47.03,4.3,DC3579-800
447,55.0,50.0,100.0,75.0,4.8,FJ4547-100
448,0.0,,,,0.0,A04955C-101
449,0.0,,,,0.0,FB9149-400
450,,,,,,
451,35.0,25.0,75.0,37.14,4.5,DX5550-700
452,44.0,46.0,80.0,42.76,4.3,DV6841-100
453,70.0,,,,4.9,CZ0775-001
454,32.0,42.0,92.0,45.71,4.9,CV0400-400
455,555.0,50.0,91.0,47.48,4.6,DZ4701-600
456,,,,,,
457,,,,,,
458,19.0,42.0,59.0,50.5,4.5,CT0079-400
459,15.0,27.0,54.0,44.78,3.6,DR0675-300
460,57.0,34.0,84.0,59.0,4.9,DO9458-100
461,462.0,49.0,86.0,45.07,4.7,844994-002
462,,,,,,DZ2794-102
463,,,,,,FN0569-900
464,83.0,43.0,64.0,36.47,4.3,DQ4124-106
465,96.0,25.0,50.0,37.5,4.6,943790-100
466,1.0,50.0,100.0,83.33,5.0,FV5914-010
467,37.0,,50.0,50.0,4.4,CW4440-011
