,ShoeName,Category,no_colors,price_reduce,price,Brand,product_code,URL
126,Freak 5 (Team),Women,5,119.97,140.0,Nike,DZ2946-100,https://www.nike.com/t/freak-5-team-basketball-shoes-6k9TNG/DZ2946-100
127,"LeBron 20 ""Time Machine""",Women,8,200.0,200.0,Nike,DJ5423-300,https://www.nike.com/t/lebron-20-time-machine-basketball-shoes-ct1qVm/DJ5423-300
128,Nike Huarache 9 Varsity LAX SE,Women,1,95.0,95.0,Nike,FZ3620-001,https://www.nike.com/t/huarache-9-varsity-lax-se-lacrosse-cleats-GFrQxL/FZ3620-001
129,Nike SB Zoom Blazer Mid,Women,3,67.97,90.0,Nike,864349-302,https://www.nike.com/t/sb-zoom-blazer-mid-skate-shoes-qX3MZV/864349-302
130,Nike Invincible 3 By You,Women,6,210.0,210.0,Nike,DX5051-400,https://www.nike.com/u/nike-invincible-run-3-by-you-custom-shoes-10001504/2437271484
131,Nike Free Run 2018,Women,3,101.97,120.0,Nike,942839-600,https://www.nike.com/t/free-run-2018-womens-running-shoes-2Xz32l/942839-600
132,KD16,Women,6,127.97,150.0,Nike,DV2917-401,https://www.nike.com/t/kd16-basketball-shoes-H3gcDG/DV2917-401
133,Nike Cortez Platform Unlocked By You Greatest Gift,Women,3,130.0,130.0,Nike,FQ7223-900,https://www.nike.com/u/custom-cortez-platform-unlocked-by-you-10001679/7647758839
134,Nike Court Vintage Premium,Women,1,80.0,80.0,Nike,CW7586-100,https://www.nike.com/t/court-vintage-premium-shoes-Cqk441/CW7586-100
135,Nike Shox TL,Women,2,170.0,170.0,Nike,,https://www.nike.com/launch/r/AR3566-002
136,Nike Air Max Bliss SE,Women,6,82.97,140.0,Nike,FB9752-100,https://www.nike.com/t/air-max-bliss-se-womens-shoes-rJ0q5H/FB9752-100
137,Nike Air Force 1 Low By You,Women,12,135.0,135.0,Nike,DV3907-900,https://www.nike.com/u/custom-nike-air-force-1-low-by-you-10001752/4667216464
138,Nike City Classic,Women,3,106.97,125.0,Nike,DQ5601-003,https://www.nike.com/t/city-classic-womens-boots-QTgPCN/DQ5601-003
139,Nike Air Max 1 '87 By You,Women,7,180.0,180.0,Nike,FJ8893-900,https://www.nike.com/u/custom-air-max-1-unlocked-by-you-10001615/1863505004
140,Nike Hyperdiamond 4 Pro,Women,9,80.0,80.0,Nike,CZ5920-400,https://www.nike.com/t/hyperdiamond-4-pro-womens-softball-cleats-K4vhtH/CZ5920-400
141,Nike Blazer Low '77 Jumbo,Women,4,100.0,100.0,Nike,DQ1470-002,https://www.nike.com/t/blazer-low-77-jumbo-womens-shoes-PdFBP1/DQ1470-002
142,Nike Dunk Low Unlocked By You,Women,7,160.0,160.0,Nike,FJ2253-901,https://www.nike.com/u/nike-dunk-low-unlocked-by-you-10001614/5150220534
143,Jumpman Two Trey,Women,7,131.97,155.0,Nike,DR9631-801,https://www.nike.com/t/jumpman-two-trey-womens-shoes-VKM3mw/DR9631-801
144,Nike Air Max 1 '87 Premium,Women,1,160.0,160.0,Nike,,https://www.nike.com/launch/r/FN7200-224
145,NikeCourt Air Zoom NXT,Women,4,140.0,140.0,Nike,DV3282-103,https://www.nike.com/t/nikecourt-air-zoom-nxt-womens-hard-court-tennis-shoes-j36m8b/DV3282-103
146,Nike Elevate 2,Women,1,40.97,80.0,Nike,CW3406-004,https://www.nike.com/t/elevate-2-basketball-shoes-v0S9N8/CW3406-004
147,Air Jordan 1 Low FlyEase,Women,1,84.97,130.0,Nike,DM1206-174,https://www.nike.com/t/air-jordan-1-low-flyease-mens-easy-on-off-shoes-D3wW7l/DM1206-174
148,Nike Rival Sprint,Women,4,75.0,75.0,Nike,DC8753-100,https://www.nike.com/t/rival-sprint-track-field-sprinting-spikes-Bc9gTn/DC8753-100
149,Nike Air Max 95 By You,Women,8,190.0,190.0,Nike,314352-998,https://www.nike.com/u/custom-nike-air-max-95-by-you-10001246/8479541797
150,Nike Air Zoom Victory,Women,5,190.0,190.0,Nike,CD4385-400,https://www.nike.com/t/air-zoom-victory-track-field-distance-spikes-MsLPjj/CD4385-400
151,Nike Internationalist By You,Women,7,110.0,110.0,Nike,CW7637-991,https://www.nike.com/u/custom-nike-internationalist-by-you-10001560/6514916251
152,Nike Air Max Thea,Women,1,72.97,120.0,Nike,FJ9302-104,https://www.nike.com/t/air-max-thea-womens-shoes-b7gZlp/FJ9302-104
153,Converse x TURBODRK Chuck 70 Laceless,Women,1,170.0,170.0,Nike,A03938C-206,https://www.nike.com/t/converse-x-turbodrk-chuck-70-laceless-unisex-shoes-6CmpRH/A03938C-206
154,Nike Go FlyEase,Women,2,125.0,125.0,Nike,DR5540-102,https://www.nike.com/t/go-flyease-easy-on-off-shoes-LGmqKx/DR5540-102
155,Nike Air Huarache By You,Women,7,130.0,130.0,Nike,FD9782-900,https://www.nike.com/u/custom-huarache-run-by-you-10001374/4041883818
156,Nike Air Max Bella TR 5,Women,7,90.0,90.0,Nike,DD9285-400,https://www.nike.com/t/air-max-bella-tr-5-womens-workout-shoes-tLCg4B/DD9285-400
157,Nike Air Force 1 '07 LX,Women,11,72.97,120.0,Nike,DO9456-100,https://www.nike.com/t/air-force-1-07-lx-womens-shoes-58VkQV/DO9456-100
158,KD Trey 5 IX,Women,1,95.0,95.0,Nike,CW3400-001,https://www.nike.com/t/kd-trey-5-ix-basketball-shoes-1HJf9Q/CW3400-001
159,Nike Blazer Mid Premium,Women,4,87.97,125.0,Nike,DQ7572-200,https://www.nike.com/t/blazer-mid-premium-womens-shoes-lgMh8j/DQ7572-200
160,Nike Air Force 1 '07,Women,1,106.97,125.0,Nike,FQ8887-100,https://www.nike.com/t/air-force-1-07-womens-shoes-5RMcfN/FQ8887-100
161,Nike G.T. Hustle 2,Women,5,127.97,170.0,Nike,DJ9405-302,https://www.nike.com/t/gt-hustle-2-mens-basketball-shoes-8FSgBX/DJ9405-302
162,Nike Blazer Low '77 By You,Women,6,115.0,115.0,Nike,DZ2653-900,https://www.nike.com/u/custom-nike-blazer-low-77-by-you-10001281/9693201788
163,Nike Air Presto,Women,2,99.97,130.0,Nike,DV2228-300,https://www.nike.com/t/air-presto-womens-shoes-LMdjZP/DV2228-300
164,Nike Icon Classic,Women,3,55.97,65.0,Nike,DH0224-200,https://www.nike.com/t/icon-classic-womens-sandals-c4bCfN/DH0224-200
165,Nike Metcon 8,Women,4,110.97,130.0,Nike,DO9327-102,https://www.nike.com/t/metcon-8-womens-workout-shoes-Hzmjkl/DO9327-102
166,Nike Offcourt,Women,1,34.97,40.0,Nike,BQ4632-002,https://www.nike.com/t/offcourt-womens-slides-N330Vh/BQ4632-002
167,Nike Pegasus 40 By You,Women,14,160.0,160.0,Nike,FB2383-900,https://www.nike.com/u/custom-pegasus-40-by-you-10001527/5274935308
